file,#,description,eif,value,income-type,income-amount
"Department of Housing and Urban Development/Hughes, Andrew",2.2,COCA­COLA COMPANY (KO),N/A,"$1,001 - $15,000",Dividends,None (or less than $201)
"Department of Housing and Urban Development/Hughes, Andrew",3,Coca Cola Refreshments,,,Salary,
"Department of Housing and Urban Development/Hughes, Andrew",4,Great Commission Community Church,,,Salary,
"Department of the Treasury/Bohigian, David",1,"Charter Communication, Inc",N/A,,"salary, bonus",
"Department of the Treasury/Bohigian, David",2,"Charter Communications, In., stock options, Grant Price 299.61, Options Granted 12009, expiration date 1/17/2027, Vesting Date 1/17/2020, value not readily ascertainable",N/A,,,None (or less than $201)
"Department of the Treasury/Bohigian, David",3,"Charter Communications, Inc,  Restricted Stock Units, Units Granted 2921, Vesting Date 1/17/2020",N/A,"$500,001 - $1,000,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",4,401k Fidelity Cablevision Corpororation,No,,,
"Department of the Treasury/Bohigian, David",4.1,Vanguard S&P Index Fund,Yes,"$50,001 - $100,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",4.2,Vanguard Tax-Managed Small-Cap Admiral Shares,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",4.3,Vanguard Extended Market Index Fund Institutional Plus Shares,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",4.4,Vanguard Total International Stock Index Fund Institutional Plus Shares,Yes,"$50,001 - $100,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",5,401k Fidelity for Charter Communications,No,,,
"Department of the Treasury/Bohigian, David",5.1,JPMCB Smart Retirement Passive Blend 2035 Fund,Yes,"$50,001 - $100,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",6,"Cablevision, defined benefit plan",N/A,"$50,001 - $100,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",7,US Brokerage Account F,N/A,,,
"Department of the Treasury/Bohigian, David",7.1,"Charter Communications, Inc. - Class A Common Stock",N/A,"$500,001 - $1,000,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",7.2,AMC Networks Inc. - Class A Common Stock,N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",8,Charter Communications Supplemental Deferred Compensation Plan,No,,,
"Department of the Treasury/Bohigian, David",8.1,JPMorgan SmartRetirement Blend 2035,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",8.2,State Street Equity 500 Index Fund Class K,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",9,"Charter Communications, Inc. Stock Options, Grant Price 242.30, Options Granted 22401, Expiration Date 7/25/2026, Vesting Date 7/25/2019, value not readily ascertainable",N/A,,,None (or less than $201)
"Department of the Treasury/Bohigian, David",10,"Charter Communications, Inc. Stock Options, Grant Price 221.25, Options Granted 2457, Expiration Date 6/17/2026, Vesting Date 6/17/2019, value not readily ascertainable",N/A,,,None (or less than $201)
"Department of the Treasury/Bohigian, David",11,"Charter Communications, Inc. Stock Options, Grant Price 183.87, Options Granted 14439, Expiration Date 1/15/2026, Vesting Date 1/15/2019, value not readily ascertainable",N/A,,,None (or less than $201)
"Department of the Treasury/Bohigian, David",12,"Charter Communications, Inc. Stock Options, Grant Price 175.76, Options Granted 20428, Expiration Date 1/15/2025, Vesting Date 1/15/2018, value not readily ascertainable",N/A,,,None (or less than $201)
"Department of the Treasury/Bohigian, David",13,"Charter Communications, Inc. Stock Options, Grant Price 150.88, Options Granted 22185, Expiration Date 1/15/2024, Vesting Date 1/15/2017, value not readily ascertainable",N/A,,,None (or less than $201)
"Department of the Treasury/Bohigian, David",14,"Charter Communications, Inc. Stock Options, Grant Price 142.15, Options Granted 13563, Expiration Date 7/08/2023, Vesting Dates 7/8/14, 7/8/15, 7/8/16, 7/8/17, value not readily ascertainable",N/A,,,None (or less than $201)
"Department of the Treasury/Bohigian, David",15,"Charter Communications, Inc. Restricted Stock Units, Units Granted 5159, Vesting Date 7/25/19",N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",16,"Charter Communications, Inc. Restricted Stock Units, Units Granted 565, Vesting Date 6/17/19",N/A,"$100,001 - $250,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",17,"Charter Communications, Inc. Restricted Stock Units, Units Granted 4078, Vesting Date 1/15/19",N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",18,"Charter Communications, Inc. Restricted Stock Units, Units Granted 853, Vesting Date 1/15/18",N/A,"$250,001 - $500,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",19,"Charter Communications, Inc. Restricted Stock Units, Units Granted 9042, Vesting Date 7/8/17",N/A,"$500,001 - $1,000,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",20,IRA C 159,No,,,
"Department of the Treasury/Bohigian, David",20.1,Cash (held in US Account),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Chung, Jason",1,"Johnson and Johnson Employee Stock Purchase Program, Johnson and Johnson Employee Stock Purchase Program",No,"$1,001 - $15,000",Dividends,None (or less than $201)
"Department of the Treasury/Claver-Carone, Mauricio",1,"University of Pennsylvania, Perelman Center for Advanced Medicine (Surgery Fellowship)",No,"$15,001 - $50,000",Salary,"$30,000"
"Department of the Treasury/Claver-Carone, Mauricio",2,Jupiter Medical Center (Physician - Surgeon),No,"$100,001 - $250,000",Salary,"$130,000"
"Department of the Treasury/Maloney, Andrew",1,Johns Hopkins University,N/A,,salary,
"Department of the Treasury/Maloney, Andrew",2,"University of Rochester - November 18, 2016",N/A,,Honorarium,$250
"Department of the Treasury/Maloney, Andrew",3,"Stanford Univesity - November 29, 2016",N/A,,Honorarium,$250
"Department of the Treasury/Maloney, Andrew",4,"University of Vermont - October 7, 2016",N/A,,Honorarium,$250
"Department of the Treasury/Maloney, Andrew",5,National Institute of Health,N/A,,consulting fees,
"Department of the Treasury/Maloney, Andrew",6,American Funds Intl Growth,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Maloney, Andrew",7,Capital World Growth and Income,Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Department of the Treasury/Maloney, Andrew",8,Growth Fund of America,Yes,"$15,001 - $50,000",,"$5,001 - $15,000"
"Department of the Treasury/Maloney, Andrew",9,Fidelity Growth Discovery,Yes,"$250,001 - $500,000",,"$15,001 - $50,000"
"Department of the Treasury/Maloney, Andrew",10,Fidelity Capital Appreciation,Yes,"$250,001 - $500,000",,"$15,001 - $50,000"
"Department of the Treasury/Maloney, Andrew",11,"Rocky Mountain Laboratories, National Institute of Allergy and Infectious Diseases, Hamilton, MT - June 9, 2016",,,Honorarium,$250
"Department of the Treasury/Maloney, Andrew",12,"Max Planck Institute for Infection Biology, Berlin, Germany - March 22, 2016",,,Honorarium,$250
"Department of the Treasury/Maloney, Andrew",13,"Heinrich Pette Institute, Leibniz Institute for Experimental Virology, Hamburg, Germany - March 21, 2016",,,Honorarium,$250
"Department of the Treasury/Maloney, Andrew",14,"Visiting Pulmonary Scholars Lecturer, UNC, NIEHS, DUKE, EPA, and NC State, Research Triangle, North Carolina - March 7, 2017",,,Honorarium,$250
"Department of the Treasury/Maloney, Andrew",15,"""Seasonal Patterns of Stress, Immune Function and Disease"", Cambridge University Press, (value not readily ascertainable)",N/A,,,None (or less than $201)
"Department of the Treasury/Maloney, Andrew",16,"""Sex and Gender Differences in Infection and Treatments for Infectious Diseases,"" Springer International Publishing, (value not readily ascertainable)",N/A,,,None (or less than $201)
"Department of the Treasury/Maloney, Andrew",17,"""Sex Hormones and Immunity to Infection,"" Springer-Verlag Berlin Heidelberg, (value not readily ascertainable)",N/A,,,None (or less than $201)
"Department of the Treasury/Miller, Eli",1,Protestant Episcopal Cathedral,N/A,,Salary,
"Department of the Treasury/Miller, Eli",2,TIAA Beauvoir Elementary School Defined Contribution Plan,No,"$15,001 - $50,000",Capital Gains,"$1,001 - $2,500"
"Department of the Treasury/Miller, Eli",2.1,T-C Lifecycle 2015 Rtmt (TCLIX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Department of the Treasury/Phillips, Craig",1,People's United Bank Account (checking),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Phillips, Craig",2,Goldman Sachs Brokerage Account,,,,
"Department of the Treasury/Phillips, Craig",2.1,Goldman Sachs Bank Deposit,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Phillips, Craig",2.2,Kinder Morgan In CMN Class P,N/A,"$50,001 - $100,000",Dividends,"$1,001 - $2,500"
"Department of the Treasury/Phillips, Craig",2.3,Schlumberger LTD CMN,N/A,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
"Department of the Treasury/Phillips, Craig",2.4,Enterprise Products Part LP CMN,N/A,"$100,001 - $250,000",Partnership Income,"$8,252"
"Department of the Treasury/Phillips, Craig",2.5,Enbridge Energy Partners LP CMN,N/A,"None (or less than $1,001)",Partnership Income,"$3,553"
"Department of the Treasury/Phillips, Craig",2.6,Plains All American Pipeline LP Common Units,N/A,"None (or less than $1,001)",Partnership Income,"$2,857"
"Department of the Treasury/Unger, Seth",1,Vanguard Roth IRA - Total Stock Market Index Fund,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of the Treasury/Wrennall-Montes, Sarah",1,Trader Joe's Company,,,,
"Environmental Protection Agency/Davis, Patrick",1,Colorado Springs School Dist. 11,,,salary,
"Environmental Protection Agency/Davis, Patrick",2,Invesco Equity and Income A,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Davis, Patrick",3,BlackRock Global Allocation Inv A,Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Davis, Patrick",4,CVGRX Calamos Growth CRA Cl A,Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Davis, Patrick",5,Franklin Income A,Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Davis, Patrick",6,Vanguard FTSE Social Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Davis, Patrick",7,Colorado Public Employees' Retirement Association (PERA) Defined Benefit Plan,,"$15,001 - $50,000",,None (or less than $201)
"Environmental Protection Agency/Ericksen, Doug",1,"State of Washington TERS plan, defined benefit plan (value not readily ascertainable)",N/A,,,None (or less than $201)
"Environmental Protection Agency/Ericksen, Doug",2,Bellingham School Distirct Teacher Salary,,,,
"Environmental Protection Agency/Greaves, Holly",1,Caplin and Drysdale (Law firm),N/A,,"salary, bonus",
"Environmental Protection Agency/Greaves, Holly",2,Greaves and Wu (law firm),N/A,,partnership share,
"Environmental Protection Agency/Greaves, Holly",3,Caplin and Drysdale 401k,,,,
"Environmental Protection Agency/Greaves, Holly",3.1,Vanguard Balanced Index Fund Admiral Shares (VBIAX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Greaves, Holly",3.2,Vanguard Dividend Growth Fund Investor Shares (VDIGX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Greaves, Holly",3.3,Vanguard Growth Index Fund Admiral Shares (VIGAX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Greaves, Holly",3.4,Vanguard REIT Index Fund Admiral Shares (VGSLX),Yes,"$1,001 - $15,000",,None (or less than $201)
