file,part,#,endnote
"Environmental Protection Agency/Davis, Patrick",1,1,"In January 2017, filer placed Patrick Davis Consulting, LLC in inactive status and is not soliciting any new clients."
"Environmental Protection Agency/Gunasekara, Amanda",2,1,equity position only.
"Environmental Protection Agency/Schwab, Justin",8,1,Stafford student loans consolidated in 2012
"Environmental Protection Agency/Schwab, Justin",8,5,Chase Graduate loan
"Environmental Protection Agency/Schwab, Justin",8,6,Law Access Loan - PNC Bank
"Senate-confirmed/Acosta, Rene Alexander",8,3,"The mortgage was refinanced in 2016, and is now paid in full."
"Senate-confirmed/Acosta, Rene Alexander",8,4,"The line of credit was refinanced in 2016, and is now paid in full."
"Senate-confirmed/Bernhardt, David L",1,2,"LLC dissolved in March 2017, subsequent to the submission date."
"Senate-confirmed/Bernhardt, David L",1,4,"The start date is based upon a good faith estimate, and this was a non-compensated position from which I resigned subsequent to the submission date."
"Senate-confirmed/Bernhardt, David L",2,1.3,"Total includes 2015 and 2016. The 2016 distribution is distributed over the first three months in 2017. The amount shown includes the last payment made on March 31, 2017."
"Senate-confirmed/Bernhardt, David L",6,11,"LLC dissolved in March 2017, subsequent to the submission date."
"Senate-confirmed/Bernhardt, David L",8,1,Refinanced mortgage
"Senate-confirmed/Bernhardt, David L",8,2,Applies for portion of reporting period and paid off when refinanced.
"Senate-confirmed/Carson, Benjamin",1,1,I have been on a leave of absence since May 2015.
"Senate-confirmed/Carson, Benjamin",1,4,The listed start date is approximate and is based on a good-faith estimate.
"Senate-confirmed/Carson, Benjamin",1,7,The listed start date is approximate and is based on a good-faith estimate.
"Senate-confirmed/Carson, Benjamin",2,1,"Filer exercised options on Jan. 5, 2017."
"Senate-confirmed/Carson, Benjamin",6,11,Rental income received from granting use of a section of farmland on residence.
"Senate-confirmed/Chao, Elaine L",1,10,"This is a single-member pass-through entity whose sole source of income is from my director fees and speaking fees, as separately disclosed herein."
"Senate-confirmed/Chao, Elaine L",2,2,"This is a single-member pass-through entity whose sole source of income is from my director fees and speaking fees, as separately disclosed herein."
"Senate-confirmed/Chao, Elaine L",2,3,"Pursuant to the terms of the company's Deferred Stock Unit Plan, unvested Deferred Stock Units will vest upon separation from service.  See Part 3, item 1."
"Senate-confirmed/Chao, Elaine L",2,13.2,"Subsequent to initially completing this report, the Compensation Committee waived the restriction on my unvested deferred stock units.  All deferred stock units are currently vested."
"Senate-confirmed/Chao, Elaine L",2,14.2,"Pursuant to the terms of the company's Retainer Stock Unit Plan, unvested Retainer Stock Units will vest upon separation from service.  See Part 3, item 8."
"Senate-confirmed/Chao, Elaine L",3,7,"Subsequent to initially completing this report, the Compensation Committee waived the restriction on my unvested deferred stock units.  All deferred stock units are currently vested."
"Senate-confirmed/Chao, Elaine L",4,15,"Not on the Board of Directors in 2014, payments are related to 2013 services"
"Senate-confirmed/Chao, Elaine L",6,17.1,"Subsequent to initially completing this report, I divested my interest in Electron Global Fund. The value category is now “None (or less than $1,001).”"
"Senate-confirmed/Coats, Daniel R",6,33,Spouse is not a trustee and is one of a number of family members eligible to receive distributions of income or principal from this trust.
"Senate-confirmed/Coats, Daniel R",6,34,Spouse is not a trustee and is one of a number of family members eligible to receive distributions of income or principal from this trust.
"Senate-confirmed/Coats, Daniel R",6,41,Asset is being liquidated and holds only cash.
"Senate-confirmed/DeVos, Elisabeth P",1,1,"The Stow Company - Holland, Inc. (custom closet and home organization systems manufacturer) is a subsidiary of The Stow Company.  Direct interests in The Stow Company are owned by Richard M. DeVos, Jr. (""Dick"") (spouse of Betsy) and Betsy DeVos.  These interests in The Stow Company are included in Part 6."
"Senate-confirmed/DeVos, Elisabeth P",1,2,"The Stow Company - Holland, Inc. (custom closet and home organization systems manufacturer) is a subsidiary of The Stow Company.  Direct interests in The Stow Company are owned by Dick and Betsy DeVos.  These interests in The Stow Company are included in Part 6."
"Senate-confirmed/DeVos, Elisabeth P",1,3,"RCB Main Floor, LLC (d/b/a “Reserve GR, LLC”) is a Manager-managed limited liability company.  From 3/2010 to 11/2016, Betsy DeVos served as an executive officer to the entity that served as Manager of RCB Main Floor, LLC (d/b/a “Reserve GR, LLC”).  In light of that structure, Betsy DeVos’s role with the company is most similar to a director role. Accordingly, Betsy DeVos’s position with the company is being reported as that of a director.  The interest in RCB Main Floor, LLC (d/b/a ""Reserve GR, LLC"") (a wine bar and restaurant) is owned by Betsy DeVos through the following entities:  BDV Inc. and RCB Investors LLC.  This interest is included in Part 6."
"Senate-confirmed/DeVos, Elisabeth P",1,4,"Direct interests in The Stow Company (holding company of The Stow Company - Holland, Inc.) are owned by Dick and Betsy DeVos.  These interests are included in Part 6."
"Senate-confirmed/DeVos, Elisabeth P",1,5,"An indirect interest in Neurocore, LLC (healthcare) is owned by Dick and Betsy DeVos through the following entity:  REDV Family Limited Partnership.  This interest is included in Part 6."
"Senate-confirmed/DeVos, Elisabeth P",1,6,"Direct interests in Windquest Group, Inc. (family office/investment management) are owned by Dick and Betsy DeVos.  These interests are included in Part 6."
"Senate-confirmed/DeVos, Elisabeth P",1,7,A direct interest in RDV Corporation (family office) is owned by Dick DeVos.  This interest is included in Part 6.
"Senate-confirmed/DeVos, Elisabeth P",1,8,"A direct interest in RDV Sports, Inc. (general partner for the Orlando Magic NBA franchise and investor in other sports interests) is owned by Dick DeVos.  This interest is included in Part 6."
"Senate-confirmed/DeVos, Elisabeth P",1,9,"The chairman and president positions of the Dick and Betsy DeVos Family Foundation change between Dick and Betsy DeVos on January 1 of each year.  Betsy was Chairman during 2016 and would have been President beginning January 1, 2017, but she no longer holds a position with the Foundation. Likewise, Dick DeVos was President during 2016 and Chairman beginning January 1, 2017.  Betsy DeVos will not hold a position with the Dick and Betsy DeVos Family Foundation for the duration of her appointment as Secretary."
"Senate-confirmed/DeVos, Elisabeth P",1,19,Inactive service 2010 - 2016.
"Senate-confirmed/DeVos, Elisabeth P",1,28,"A direct interest in BDV, Inc. (holding company of RCB Investors, LLC, which, in turn, is a holding company of RCB Main Floor, LLC (d/b/a ""Reserve GR, LLC"") (wine bar and restaurant)) is owned by Betsy DeVos.  This interest is reported in Part 6."
"Senate-confirmed/DeVos, Elisabeth P",2,1,"The Stow Company - Holland, Inc. (custom closet and home organization systems manufacturer) is a subsidiary of The Stow Company.  Direct interests in The Stow Company are owned by Dick and Betsy DeVos.  These interests in The Stow Company are included in Part 6."
"Senate-confirmed/DeVos, Elisabeth P",2,2,A direct interest in RDV Corporation (family office) is owned by Dick DeVos.  This interest is included in Part 6.
"Senate-confirmed/DeVos, Elisabeth P",5,1,A direct interest in RDV Corporation (family office) is owned by Dick DeVos.  This interest is included in Part 6.
"Senate-confirmed/DeVos, Elisabeth P",6,2,"The Stow Company manufacturers storage solutions including closet organizers, garage storage systems, pantry organizers, well beds, laundry cabinets, entertainment centers, mudroom lockers and more"
"Senate-confirmed/DeVos, Elisabeth P",6,3,"Windquest Group, Inc. is a family office and engages in the business of investment management."
"Senate-confirmed/DeVos, Elisabeth P",6,5,"Activa Holdings Corporation owns undeveloped land in Grand Rapids, MI, which is currently under contract for sale.  This land is held in two entities:  Meadowbrooke Corporation and Meadowbrooke Business Park Associates, LP."
"Senate-confirmed/DeVos, Elisabeth P",6,6,"Ada Holdings LLC and its subsidiaries (Pettis Avenue Holdings, LLC and East River Holdings, LLC) hold cash on deposit with a U.S. bank, direct and indirect interests in undeveloped land held for investment, land leased as farm land, and a residential rental property all in Ada, MI."
"Senate-confirmed/DeVos, Elisabeth P",6,7.1,Distributor of drinking water
"Senate-confirmed/DeVos, Elisabeth P",6,8,DBAM Holdings LLC holds cash on deposit with a U.S. bank and personal property.
"Senate-confirmed/DeVos, Elisabeth P",6,9,DBD Properties LLC holds personal property.
"Senate-confirmed/DeVos, Elisabeth P",6,9.2,"DBD Properties holds a note receivable from Blue Like Jazz Distributor LLC, which owns the rights to the movie, ""Blue Like Jazz."""
"Senate-confirmed/DeVos, Elisabeth P",6,9.6,"Holland Property Holdings LLC was formed to pursue the purchase of a current industrial property in Holland, MI.  The value represents capitalized costs to date for this project, which to date has been unsuccessful in reaching an agreement with the seller."
"Senate-confirmed/DeVos, Elisabeth P",6,10,DV Sailing LLC holds cash on deposit with a U.S. bank and personal property.
"Senate-confirmed/DeVos, Elisabeth P",6,11.1.2,"Designer and marketer of niche accessories for the exercise and fitness, gift, and travel markets."
"Senate-confirmed/DeVos, Elisabeth P",6,12,"Fox Mountain LLC holds cash on deposit with a U.S. bank, personal property, and boat slips held for rental in Holland, MI and Saugatuck, MI."
"Senate-confirmed/DeVos, Elisabeth P",6,13,Foxridge Properties LLC holds cash on deposit with a U.S. bank and personal property.
"Senate-confirmed/DeVos, Elisabeth P",6,14.1,MVP Sports Clubs is a sports and health facility management and development company with operations in Central Florida and West Michigan.
"Senate-confirmed/DeVos, Elisabeth P",6,14.2,"MVP Sportsplex-GR, LLC owns and operates an athletic club in Grand Rapids, MI."
"Senate-confirmed/DeVos, Elisabeth P",6,14.8,"CWD Urban Fund holds cash in a U.S. bank and commercial real estate in the Grand Rapids, MI area through the following entities: CWD 169 Monroe, LLC CWD 180 Monroe, LLC 125 Ottawa, LLC CWD 50 Louis, LLC CWD 50 Monroe, LLC CWD 171 Monroe, LLC 40 Pearl Street, LLC CWD 250 Monroe, LLC CWD 80 Ottawa, LLC"
"Senate-confirmed/DeVos, Elisabeth P",6,14.9,"Michigan Street Development, LLC owns cash in a U.S. bank and commercial rental properties in the Grand Rapids, MI area through the following entities: Michigan Street Development, LLC Cancer Pavillion Partners, LLC 35 Michigan Street, LLC"
"Senate-confirmed/DeVos, Elisabeth P",6,15.1,"Northside Entertainment Holdings, LLC (NEH) (Holds certain real estate investments and a controlling interest in the parent company of the Chicago Cubs and Wrigley Field). - Chicago, IL, which holds interests in the following entities: 1RAC Education Trust Finance, LLC (Partially owned by Northside Entertainment Holdings, LLC ; Holder of a subordinated promissory note issued by Chicago Baseball Holdings, LLC.) - Jackson, WY 2RAC Education Trust OSA, LLC (Wholly owned by Northside Entertainment Holdings, LLC; Holder of an Operating Support Account required by Chicago Baseball Holdings, LLC's credit facility.) - Jackson, WY 3Chicago Entertainment Ventures, LLC (Majority owned by NEH; Partnership with Tribune Media Company that owns various subsidiaries relating to the Chicago Cubs and Wrigley Field). – Chicago, Illinois, which holds interests in the following entities: 3.1Chicago Realty Ventures, LLC – Chicago, Illinois (Holding company), which owns interests in the following entities: 3.1.1 Ancillary Building Leasing, LLC (Owns and leases real property.) – Chicago, Illinois 3.1.2 Triangle Property Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 3.1.3 Wrigley Field Parking Operations, LLC (Owns and leases parking lots.) – Chicago, Illinois 3.2 Chicago Baseball Holdings, LLC – Chicago, Illinois (Holding company), which owns interests in the following entities: 3.2.1 Chicago Cubs Baseball Club, LLC (Owns and operates the Chicago Cubs Major League Baseball club/provides baseball exhibition services, and is a 1/30th member/owner in Major League Baseball.) – Chicago, Illinois, which owns interests in the following entities: 3.2.1.1 Chicago Cubs Baseball Operations Dominicana, LLC (Operates a baseball training academy in the Dominican Republic.) – Chicago, Illinois 3.2.1.2 Realty Dominicana, LLC (Owns improved real property on which its affiliate, Chicago Cubs Baseball Operations Dominicana, LLC, operates a baseball training academy.) – Chicago, Illinois 3.2.2 WF Managing Member, LLC (Manages WF Master Tenant, LLC.) – Chicago, Illinois, which owns an interest in the following entity: 3.2.2.1 WF Master Tenant, LLC (WF Managing Member, LLC-1%; leases Wrigley Field.) – Chicago, Illinois 3.2.3 Wrigley Field Enterprises, LLC (Operates certain events at Wrigley Field.) – Chicago, Illinois 3.2.4 Wrigley Field Holdings, LLC (Owns and leases real property commonly known as Wrigley Field.) – Chicago, Illinois 3.2.5 Wrigley Field Premium Ticket Services, LLC (Secondary market ticket broker.) – Chicago, Illinois 3.2.6 Comcast SportsNet Chicago, LLC (Partially owned by Chicago Baseball Holdings, LLC . Joint Venture that operates the regional sports cable network commonly known as Comcast SportsNet Chicago.) – Philadelphia, PA 4 Greystone, LLC (Holding company of multiple subsidiaries that own and operate real estate.) – Chicago, Illinois, which owns interests in the following entities: 4.1 1010 Waveland Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 4.2 1032 Waveland Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 4.3 1038 Waveland Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 4.4 1044 Waveland Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 4.5 1048 Waveland Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 4.6 3617-19 Sheffield Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 4.7 3637 Sheffield Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 4.8 3639 Sheffield Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 4.9 3643 Sheffield Holdings, LLC (Owns and leases real property.) – Chicago, Illinois 4.10 Greystone Sheffield Holdings, LLC (Holds various mortgage notes on real property.) – Chicago, Illinois 4.11 Northside Rooftops, LLC (Operates Special Clubs licensed by the City of Chicago under the Wrigley Rooftops brand.) – Chicago, Illinois 5 Marquee Sports and Entertainment, LLC (Newly formed sales agency.) – Chicago, Illinois"
"Senate-confirmed/DeVos, Elisabeth P",6,15.2,"Hickory Street Capital LLC (Holds certain real estate investments.) – Chicago, Illinois, which owns interests in the following entities: 1 Hickory Oak Holdings LLC (No operations; newly formed entity for a future potential transaction.) – Chicago, Illinois 2 Hickory Street Development LLC (Maintains credit facility and holds real estate investments.) – Chicago, Illinois, which owns interests in the following entities: 2.1 HSC Hotel Holdings, LLC (Develops and operates real estate.) – Chicago, Illinois 2.2 HSC Plaza And Building Operations LLC (Developing a mixed-use development.) – Chicago, Illinois 2.3 North Clark Street LLC (Owns and leases real estate.) – Chicago, Illinois 3 WRIGLEYVILLE.COM, LLC (Owns an Internet domain.) – Chicago, Illinois 4 Mesa Development Holdings LLC (Held an option to develop certain real estate.) – Chicago, Illinois 5 HSC Ventures LLC (Leasing entity.) – Chicago, Illinois 6 Down the Line LLC ((Hickory Street Capital partial owner; Joint Venture that operates a licensed Special Club (Rooftop) overlooking Wrigley Field.) – Chicago, Illinois"
"Senate-confirmed/DeVos, Elisabeth P",6,16,"Lakeshore Dunes LLC holds cash on deposit with a U.S. bank and undeveloped real estate held for investment in Arcadia, MI and Laketown, MI."
"Senate-confirmed/DeVos, Elisabeth P",6,17,PA Holdings LLC holds cash on deposit with a U.S. bank and personal property.
"Senate-confirmed/DeVos, Elisabeth P",6,18,"PHC LLC is a single family office operated through EDP Management Company LLC, a staffing company operated through EDP Service, Inc. PHC LLC holds: cash on deposit with a U.S. bank; vacant land in Holland, MI, held for investment; commercial and residential rental real estate in Holland, MI owned through Lumir Real Estate and Central Avenue Condominium, LLC; and rental property consisting of a Falcon 2000 aircraft owned through Wingspan, LLC"
"Senate-confirmed/DeVos, Elisabeth P",6,19,"Profile Industrial Packaging Corp. is engaged in the manufacturing of custom polyethylene bags, sheeting, tubing and other converted products."
"Senate-confirmed/DeVos, Elisabeth P",6,20,RDV Corporation is a single family office.  The value of the assets listed are the operating assets of the corporation.
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.1,Cape Eleuthera Resort Ltd. owns and operates a resort and marina in Eleuthera Bahamas.
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.2,"Bridge Street Capital Fund I, LP is a private equity fund.  It owns interests in the following companies and cash on deposit with a U.S. bank: Superior Fibers, LLC (Fiberglass Media Manufacturing) V.I.O. Inc. (point-of view video technology) Callpod, Inc. (sells universal cellular phone adapters, accessories, software and power modules) Zorch International, Inc. (Product Distribution)"
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.4.2,"Reinhart Partners Inc manages an account for Lakeshore Asset Management. The account holds interests in the following companies and cash on deposit with a U.S. bank: Robert Half International Inc. provides staffing and risk consulting services in North America, South America, Europe, Asia, and Australia. Spirit AeroSystems Holdings, Inc., through its subsidiaries, designs, manufactures, and supplies commercial aero structures worldwide. Brinker International, Inc., together with its subsidiaries, owns, develops, operates, and franchises casual dining restaurants worldwide. Discovery Communications, Inc. operates as a media company worldwide. The Michaels Companies, Inc. owns and operates a chain of arts and crafts specialty retail stores under the Michaels and Aaron Brothers names in North America. Whole Foods Market, Inc. operates natural and organic foods supermarkets. BOK Financial Corporation, a financial holding company, operates BOKF, NA that provides various financial products and services in Oklahoma, Texas, New Mexico, Northwest Arkansas, Colorado, Arizona, and Kansas/Missouri. Citizens Financial Group, Inc. operates as the bank holding company for Citizens Bank, N.A. and Citizens Bank of Pennsylvania that provide retail and commercial banking products and services in the United States. Franklin Resources, Inc. is a publicly owned asset management holding company. Ryman Hospitality Properties, Inc. owns and operates hotels in the United States. White Mountains Insurance Group, Ltd., through its subsidiaries, engages in insurance, reinsurance, and insurance services businesses. FirstEnergy Corp., through its subsidiaries, generates, transmits, and distributes electricity in the United States. Apache Corporation, an independent energy company, explores, develops, and produces natural gas, crude oil, and natural gas liquids. FMC Technologies, Inc., together with its subsidiaries, designs, manufactures, and services technological systems and products for customers in the energy industry worldwide. Ashland Global Holdings Inc. provides specialty chemical solutions worldwide. Weyerhaeuser Co. is a real estate investment trust. It primarily invests in United States. Gentex Corporation designs, develops, manufactures, and markets automatic-dimming rearview mirrors and electronics for the automotive industry; dimmable aircraft windows for the aviation industry; and commercial smoke alarms and signaling devices for the fire protection industry worldwide. DST Systems, Inc. provides technology-based information processing and servicing solutions in the United States, the United Kingdom, Canada, Australia, and internationally. Fidelity National Financial, Inc., together with its subsidiaries, provides title insurance, and technology and transaction services to the real estate and mortgage industries in the United States. HealthSouth Corporation owns and operates inpatient rehabilitation hospitals, home health agencies, and hospice agencies in the United States. Universal Health Services, Inc., through its subsidiaries, owns and operates acute care hospitals, behavioral health centers, surgical hospitals, ambulatory surgery centers, and radiation oncology centers."
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.4.3,"Berkshire Hathaway Inc. is a publicly-traded, American multinational conglomerate holding company headquartered in Omaha, NE."
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.4.4,"Hahn Capital Management, LLC, is an investment management firm based in San Francisco, CA.  A marketable securities account formerly managed by Hahn Capital Management, LLC, was liquidated in October 2016. The account held the following marketable securities: AGILENT TECHNOLOGIES INC COM ALBEMARLE CORP COM AMSURG CORP COM BANKUNITED INC BECTON, DICKINSON AND CO., COMMON STOCK,$1 PAR CARLISLE COMPANIES INC COMMON STOCK $1.00 PAR CARTER INC FORMERLY CARTER HLDGS INC TO 09/13/2003 COM CBRE GROUP INC CL A CL A CIT GROUP INC NEW COM NEW COM NEW COVANTA HLDG CORP COM EMCOR GROUP INC COM EURONET WORLDWIDE INC COM FIDELITY NATL FINL INC NEW FORMERLY FIDELITY COMMON STOCK FIRST REP BK SAN FRANCISCO CALIF NEW COM HANESBRANDS INC COM STK HEXCEL CORP NEW COM HOST HOTELS & RESORTS INC REIT IDEX CORP COM JACOBS ENGR GROUP INC COM KEYSIGHT TECHNOLOGIES INC COM KROGER CO., COMMON STOCK, $1 PAR LABORATORY CORP AMER HLDGS COM NEW MFB NORTHERN INSTL FDS TREAS PORTFOLIO  PREMIER CL MID-AMER APT CMNTYS INC COM MOHAWK INDS INC COMMON STOCK PARTNERRE HOLDING PIONEER NAT RES CO COM PVH CORP COM USD1 RELIANCE STL & ALUM CO COMMON STOCK ROPER TECHNOLOGIES, INC ROSS STORES INC COM SEI INVTS CO COM SNAP-ON INC COM WABTEC CORP COM"
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.5.1,Hawaiian lumber supplier serving residential and commercial builders and contractors.
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.6.1,"Renaissance Acquisition Company LLC, under the brand ""RenPSG,"" is the largest independent philanthropic solutions provider in North America."
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.8.1,"Operator of BMW car dealerships in Beijing, Xian, Dalian, and Urumqi."
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.9,"Orlando Sportsplex, Ltd. owns and operates a facility in Maitland, FL, that includes an athletic facility, two ice rinks, and commercial and medical office space."
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.10,"RDV Capital Management LP holds notes receivable from Aurum Holdings LLC; Bridge Street Capital Fund I, LP; and RDV Asset Management LLC."
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.12.1,Cape Eleuthera Ltd. is a holding company which owns undeveloped land in Eleuthera Bahamas.
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.14,"Bimini Capital Management is a real estate investment trust (REIT) that invests primarily in, but is not limited to, residential mortgage-related securities issued by the Federal National Mortgage Association (Fannie Mae), the Federal Home Loan Mortgage Corporation (Freddie Mac) and the Government National Mortgage Association (Ginnie Mae)."
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.15,"AEA Europe Fund LP is a private equity fund. It owns interests in the following companies and cash on deposit with a U.S. bank: BOA Group (Steel) Lone Star Prd Group, Ltd. (Industrial Machinery)"
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.38,Gaillon S.C.A. is a private equity fund. It owns interests in the following companies and cash on deposit with a U.S. bank: Cortefiel (Apparel Retail) Perstorp (Commodity Chemicals)
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.39,"Cuyahoga Capital Partners I, L.P. is a private equity fund. It owns interests in the following companies and cash on deposit with a U.S. bank: Artiman Ventures, L.P.  holds an interest in Invensense (the provider of the MotionTracking sensor system on chip for consumer electronic devices) and Prysm (cloud-based visual workplaces) HarbourVest Partners VI - Buyout Partnership Fund (Asset Management & Custody Banks) HarbourVest Partners VI - Partnership Fund, L.P. (Asset Management & Custody Banks) Media Technology Ventures IV Annex Fund, L.P.  and Media Technology Ventures IV-A, L.P. hold ClariPhy (semiconductor company) and IMVU (online social network)"
"Senate-confirmed/DeVos, Elisabeth P",6,20.1.51,"RDV Genmar Holdings LLC holds an installment loan from an individual with the last name of Nicholson that is related to the sale of an investment in Genmar Holdings, Inc."
