file,#,description,eif,value,income-type,income-amount
"Department of Education/Chamberlain, Michael",3,Roth IRA: T. Rowe Price Personal Strategy Growth Fund (TRSGX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Chamberlain, Michael",4,"Donald J. Trump for President, Inc. (national political campaign)",N/A,,Payment as Independent Contractor,"$13,333"
"Department of Education/Cox-Roush, Deborah",1,58th Presidential Inaugural Committee,N/A,,Salary,"$41,750"
"Department of Education/Cox-Roush, Deborah",2,"C&L Creative Solutions of Florida, LLC d/b/a DCR Creative Solutions of Florida",N/A,,Salary,"$30,000"
"Department of Education/Cox-Roush, Deborah",3,"C&L Creative Solutions of Florida, LLC d/b/a DCR Creative Solutions of Florida",N/A,,Business Income,"$296,506"
"Department of Education/Cox-Roush, Deborah",4,"Donald J. Trump for President, Inc.",N/A,,Salary,"$21,000"
"Department of Education/Cox-Roush, Deborah",5,Republican National Committee,N/A,,Salary,"$27,115"
"Department of Education/Delahunty, Sarah",1,National Republican Senatorial Committee,N/A,,Salary,"$40,000"
"Department of Education/Delahunty, Sarah",2,Jeb Bush 2016 Campaign Committee,N/A,,Salary,"$35,000"
"Department of Education/Delahunty, Sarah",3,National Republican Senatorial Committee,N/A,,Bonus,"$30,000"
"Department of Education/Eck, Kevin",1,Uber,N/A,,Salary (Independent Contractor),"$13,617"
"Department of Education/Eck, Kevin",2,"Donald J. Trump for President, Inc.",N/A,,Salary (Independent Contractor),"$15,750"
"Department of Education/Frendewey, Matthew",1,American Federation for Children,N/A,,Salary,"$149,357"
"Department of Education/Frendewey, Matthew",2,401K:  Vanguard Target Retirement 2045 Fund (VTIVX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",3,IRA:  Ameriprise Insured Money Market Account (Cash Account),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",4,"IRA:  Altria Group, Inc. (MO)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",5,"IRA:  Maxim Integrated Products, Inc. (MXIM)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",6,"IRA:  Merck & Co., Inc. (MRK)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",7,IRA:  Southern Co. (SO),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",8,IRA:  Archer-Daniels-Midland Company (ADM),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",9,IRA:  Realty Income Corporation (O),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",10,IRA:  Carnival Corporation (CCL),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",11,"IRA:  Cisco Systems, Inc. (CSCO)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",12,IRA:  The Clorox Company (CLX),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",13,"IRA:  Cracker Barrel Old Country Store, Inc. (CBRL)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",14,IRA:  GlaxoSmithKline plc (GSK),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",15,IRA:  Johnson & Johnson (JNJ),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",16,"IRA:  Paychex, Inc. (PAYX)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",1,Hewlett Packard Enterprise,N/A,,Salary,"$67,342"
"Department of Education/Ham, Holly",2,"Hewlett Packard Enterprise, restricted stock units",N/A,"$1,001 - $15,000",Cash Payment,"$7,500"
"Department of Education/Ham, Holly",3,Hewlett Packard Enterprise,N/A,,Severance,"$33,503"
"Department of Education/Ham, Holly",4,Hewlett Packard Enterprise,N/A,,Bonus,"$1,873"
"Department of Education/Ham, Holly",5,IRA:  AB High Income Fund Advisor Class (AGDYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",6,IRA:  American Century Mid Cap Value (ACMVX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",7,IRA:  Ariel International Fund Investor Class (AINTX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",8,IRA:  Artisan Mid Cap Fund Advisor Class (APDMX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",9,IRA:  Cohen & Steers Preferred Sec & Inc I (CPXIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",10,IRA:  Columbia Strategic Income Fund Class Z (LSIZX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",11,IRA:  Edgewood Growth Fund Class Institutional (EGFIX),Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Department of Education/Ham, Holly",12,IRA:  Federated Strategic Value Dividend Fund Institutional Shares (SVAIX),Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Department of Education/Ham, Holly",13,IRA:  First Eagle Global Fund Class I (SGIIX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Department of Education/Ham, Holly",14,IRA:  Hancock Horizon Burkenroad Small Cap Fund Investor Class (HHBUX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",15,IRA:  Hennessy Japan Fund Institutional Class (HJPIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",16,IRA:  LoCorr Market Trend Fund Class I (LOTIX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",17,IRA:  MFS Emerging Markets Debt Fund Class I (MEDIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",18,IRA:  Oppenheimer Senior Floating Rate Y (OOSYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",19,IRA:  PIMCO Income P (PONPX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",20,IRA:  Templeton Emerging Markets Small Cap Adv (TEMZX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",21,IRA:  Victory Integrity Discovery Fund Class Y (MMEYX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",22,IRA:  Virtus Foreign Opportunities Fund Class I (JVXIX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",23,IRA:  Virtus Emerging Markets Opportunities Fund Class I (HIEMX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",24,IRA:  Virtus Multi-Sector Short Term Bond Fund Class I (PIMSX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",25,IRA:  Voya GNMA Income Fund Class I (LEINX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",26,Roth IRA:  American Funds Growth Fund of Amer F-2 (GFFFX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",27,Roth IRA:  Federated Strategic Value Dividend Fund Institutional Shares (SVAIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",28,Roth IRA:  Oppenheimer Developing Markets Y (ODVYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",29,Roth IRA:  Putnam Diversified Income Trust Class Y (PDVYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Holden, Ron",1,Christie for President,N/A,,Salary,"$8,000"
"Department of Education/Holden, Ron",2,Laurens' Kids,N/A,,Salary,"$6,000"
"Department of Education/Holden, Ron",3,Trump for President,N/A,,Salary,"$5,000"
"Department of Education/Holden, Ron",4,58th Presidential Inaugural Committee,N/A,,Salary,"$6,000"
"Department of Education/Holden, Ron",5,State of New Jersey,N/A,,Unemployment insurance benefit,"$9,000"
"Department of Education/Hudson, Alexandra",1,Rotary International,N/A,,Global Grant Scholarship,"$53,000"
"Department of Education/Hudson, Alexandra",2,Wisconsin Institute for Law and Liberty,N/A,,Salary,"$55,000"
"Department of Education/Jones, Amy L",1,Humana Retirement Savings Plan,No,"$100,001 - $250,000",,"$5,001 - $15,000"
"Department of Education/Jones, Amy L",1.1,BNY Mellon Broad Market Stock Index (NOTE: Itemized income not available),Yes,"$15,001 - $50,000",,
"Department of Education/Jones, Amy L",1.2,JPMCB Large Cap Growth Fund-CF (NOTE: Itemized income not available),Yes,"$15,001 - $50,000",,
"Department of Education/Jones, Amy L",1.3,Schwab Inst LC Val Trust Fd Cls I (NOTE: Itemized income not available),Yes,"$15,001 - $50,000",,
"Department of Education/Jones, Amy L",1.4,BNY Mellon Small Cap (NOTE: Itemized income not available),Yes,"$1,001 - $15,000",,
"Department of Education/Jones, Amy L",1.5,Delaware Small Cap Value Instl (NOTE: Itemized income not available),Yes,"$1,001 - $15,000",,
"Department of Education/Jones, Amy L",1.6,Prudential Jennison Small Company Z (NOTE: Itemized income not available),Yes,"$1,001 - $15,000",,
"Department of Education/Jones, Amy L",1.7,Artisan International Growth Trust Tier 3 (NOTE: Itemized income not available),Yes,"$15,001 - $50,000",,
"Department of Education/Jones, Amy L",2,"Humana, Inc.",N/A,"$100,001 - $250,000","Humana, Inc. - Gross Salary Earned from 1/2016 until 2/2017.","$106,572"
"Department of Education/Kossack, Andrew",1,"Indiana Public Employee Retirement Fund, defined benefit plan",N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Kossack, Andrew",2,Indiana Public Employee Deferred Compensation Plan: Stable Value Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Kossack, Andrew",3,Indiana Department of Revenue,N/A,,Salary,"$106,340"
"Department of Education/Kossack, Andrew",4,Richard M. Fairbanks Foundation,N/A,,Salary,"$36,559"
"Department of Education/Lee, Ebony Letise",1,Bill & Melinda Gates Foundation,N/A,,Salary,"$356,389"
"Department of Education/Lee, Ebony Letise",2,Bill & Melinda Gates Foundation Sharing Retirement Plan 401(a) (through Transamerica Retirement Solutions),No,,,
"Department of Education/Lee, Ebony Letise",2.1,Stable Value Fund,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.2,Metropolitan West Total Return Bond I,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.3,PIMCO Total Return Instl,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.4,Vanguard Total Bond Market Index I,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.5,MFS Value R4,Yes,"$50,001 - $100,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.6,Vanguard Institutional Index I,Yes,"$50,001 - $100,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.7,Fidelity Contrafund,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.8,Harbor Capital Appreciation Instl,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.9,Vanguard Mid-Cap Value Index Admiral,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.10,T. Rowe Price Instl Mid-Cap Equity Gr,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.11,Invesco Small Cap Value Y,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.12,Loomis Sayles Small Cap Growth Instl,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.13,American Funds EuroPacific Gr R6,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.14,Cambiar International Equity Instl,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.15,Fidelity International Index Premium,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",2.16,Invesco International Growth R5,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3,Bill & Melinda Gates Employee Retirement Plan 403(b) (through Transamerica Retirement Solutions),No,,,
"Department of Education/Lee, Ebony Letise",3.1,TFLIC Guaranteed Pooled Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.2,Metropolitan West Total Return Bond I,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.3,PIMCO Total Return Instl,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.4,Vanguard Total Bond Market Index I,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.5,MFS Value R4,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.6,Vanguard Institutional Index I,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.7,Fidelity Contrafund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.8,Harbor Capital Appreciation Instl,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.9,Vanguard Mid-Cap Value Index Admiral,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.10,T. Rowe Price Instl Mid-Cap Equity Gr,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.11,Invesco Small Cap Value Y,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.12,Loomis Sayles Small Cap Growth Instl,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.13,American Funds EuroPacific Gr R6,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.14,Cambiar International Equity Instl,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.15,Fidelity International Index Premium,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Lee, Ebony Letise",3.16,Invesco International Growth R5,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Manning, James",1,USA FUNDS CONSULTING,N/A,,FEE FOR SERVICE,"$110,000"
"Department of Education/Oberlies, Michael",1,Fidelity Investments (Roth IRA): Fidelity Contrafund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Oberlies, Michael",2,National Republican Congressional Committee (NRCC) 401k,No,,,
"Department of Education/Oberlies, Michael",2.1,Allianz Gi Njf Small-Cap Value,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Oberlies, Michael",2.2,American Beacon Mid Cap Value,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Oberlies, Michael",2.3,American Funds Europacific Growth Fund - Class R3 (RERCX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Oberlies, Michael",2.4,Bny Mellon S&P 500 Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Oberlies, Michael",2.5,Dodge & Cox Stock,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Oberlies, Michael",2.6,T Rowe Price Blue Chip Growth,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Oberlies, Michael",2.7,T Rowe Price Real Estate,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Oberlies, Michael",2.8,Victory Munder Mid Cap Growth,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Oberlies, Michael",3,National Republican Congressional Committee (NRCC),N/A,,Salary,"$56,006"
"Department of Education/Reynolds, Cody",1,"Grand Tots, Inc.",N/A,,Salary,"$3,300"
"Department of Education/Reynolds, Cody",2,"Donald J. Trump for President, Inc.",N/A,,Campaign Consulting Fees,"$28,760"
"Department of Education/Reynolds, Cody",3,Steve Carter for Indiana Attorney General,N/A,,Campaign Consulting Fees,"$1,500"
"Department of Education/Ruddock, Neil",1,Foundation for Excellence in Education,N/A,,Salary,"$31,915"
"Department of Education/Ruddock, Neil",2,Excellence in Education National d/b/a Excellence in Education in Action,N/A,,Salary,"$8,126"
"Department of Education/Ruddock, Neil",3,Roth IRA:  TIAA-CREF Lifecycle Fund 2040 (TCLOX),Yes,"$100,001 - $250,000",,"$201 - $1,000"
"Department of Education/Shaheen, Patrick",1,New Hampshire Republican State Committee,N/A,,Salary,"$10,992"
"Department of Education/Shaheen, Patrick",2,Americans for Prosperity Foundation,N/A,,Salary/Bonus,"$18,566"
"Department of Education/Toner, Jana",1,Trade PMR Defined Contribution Plan,No,,,
"Department of Education/Toner, Jana",1.1,Dimensional Funds DFA Investment Grade Portfolio Institutional Class Shares (DFAPX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Toner, Jana",1.2,Dimensional Funds DFA Emerging Markets Core Equity Portfolio Institutional Class (DFCEX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Toner, Jana",1.3,Dimensional Funds DFA International Core Equity Portfolio Institutional Class (DFIEX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Department of Education/Toner, Jana",1.4,Dimensional Funds DFA U.S. Core Equity 1 Portfolio Institutional Class (DFEOX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Toner, Jana",1.5,Dimensional Funds DFA U.S. Core Equity II Portfolio Institutional Class (DFQTX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Department of Education/Toner, Jana",1.6,Dimensional Funds DFA Short-Term Extended Quality Portfolio Institutional Class (DFEQX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Toner, Jana",1.7,Dimensional Funds DFA Five-Year Global Fixed Income Portfolio Institutional Class (DFGBX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ventimiglia, Eric",1,State of Michigan,N/A,,Salary,"$60,808"
"Department of Education/Ventimiglia, Eric",2,Michigan House of Representatives 401K Plan:  State Street Target Retirement 2050 (SSDFX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Young, Patrick",1,Onyx AV (AV Integration),N/A,,Salary,"$55,422"
"Department of Education/Young, Patrick",2,Event Strategies Inc,N/A,,Income s a result of invoicing from freelance work.,"$44,491"
"Department of Education/Young, Patrick",3,2017 Presidential Inaugural Committee,N/A,,Salary,"$25,000"
"Department of Education/Young, Patrick",4,Design Foundry (Event Production),N/A,,Paid a daily rate-Part Time,"$3,200"
"Department of Education/Young, Patrick",5,T-Rowe Price IRA,Yes,"$100,001 - $250,000",,None (or less than $201)
"Department of Education/Young, Patrick",5.1,T Rowe Price Retirement 2035 Fund(TRRJX),Yes,"$100,001 - $250,000",,None (or less than $201)
"Department of Housing and Urban Development/Barton, Victoria",1,"JMJ Development, INC",N/A,,Salary,"$62,500"
"Department of Housing and Urban Development/Barton, Victoria",2,"Donald J. Trump for President, INC",N/A,,Salary,"$15,000"
"Department of Housing and Urban Development/Barton, Victoria",3,Ohio Republican Party,N/A,,Salary,"$12,000"
"Department of Housing and Urban Development/Barton, Victoria",4,58th Presidential Inaugural Committee,N/A,,Salary,"$13,500"
"Department of Housing and Urban Development/Bass, Deidre",1,Bass Public Affairs,N/A,,Salary/Bonus,"$179,574"
"Department of Housing and Urban Development/Bowes, Robert",1,"Donald J. Trump for President, Inc. (Presidential Campaign)",N/A,,Salary,"$35,000"
"Department of Housing and Urban Development/Coffey, Alexander",1,Coalitions Director for Donald J Trump for President,N/A,,Salary,"$12,000"
"Department of Housing and Urban Development/Gribbin, Anne",1,Heritage Foundation Internship,N/A,"$1,001 - $15,000",Living stipend for three-month internship,"$3,534"
"Department of Housing and Urban Development/Holderfield, Stephanie",1,"413 Consulting (Ben Carson for President, Carson America, L.LC)",N/A,,Consulting fees for the years 2015 - 2016,"$65,000"
"Department of Housing and Urban Development/Holderfield, Stephanie",2,Consulting-Media,N/A,,"Consulting fees paid to me, for media consulting and advertising.","$18,500"
"Department of Housing and Urban Development/Holderfield, Stephanie",3,Donald Trump for President,N/A,,Salary,"$17,500"
"Department of Housing and Urban Development/Hughes, Andrew",1,The University of Texas System,No,,Salary,"$39,750"
"Department of Housing and Urban Development/Hughes, Andrew",2,Uber Technologies,No,,Salary,$625
"Department of Housing and Urban Development/Hughes, Andrew",3,Teacher Retirement System of Texas,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Housing and Urban Development/Hughes, Andrew",4,Ben Carson for America,No,,Salary,"$17,374"
"Department of Housing and Urban Development/Hughes, Andrew",5,The Donald J Trump Campaign,No,,Salary,"$2,500"
"Department of Housing and Urban Development/Kasper, Maren",1,"Roofstock, Inc. Equity",No,"$15,001 - $50,000",,None (or less than $201)
"Department of Housing and Urban Development/Kasper, Maren",2,IRA,,,,
"Department of Housing and Urban Development/Kasper, Maren",2.1,iShares IBoxx $ Invest Grade Corp Bd Fd,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Housing and Urban Development/Kasper, Maren",2.2,ISHARES J P MORGAN USD EMERGING MARKETS BOND ETF,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Housing and Urban Development/Kasper, Maren",2.3,VANGUARD TOTAL STOCK MARKET etf,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Housing and Urban Development/Kasper, Maren",2.4,VANGUARD REIT ETF,Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Department of Housing and Urban Development/Kasper, Maren",2.5,VANGUARD FTSE EMERGING MARKETS ETF FTSE EMERGING INDEX,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Housing and Urban Development/Kasper, Maren",2.6,VANGUARD DIVIDEND APPRECIATION ETF,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Housing and Urban Development/Kasper, Maren",2.7,VANGUARD FTSE DEVELOPED MARKETS ETF,Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Department of Housing and Urban Development/Kasper, Maren",3,Wells Fargo Savings Account,N/A,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
"Department of Housing and Urban Development/Kasper, Maren",4,Roofstock,,,salary,"$121,844"
"Department of Housing and Urban Development/McCall, Jonathan",1,Salary-Texans for Greg Abbott,N/A,,Salary,"$35,881"
"Department of Housing and Urban Development/McCall, Jonathan",2,Salary-Carson America,N/A,,Salary,"$6,000"
"Department of Housing and Urban Development/McCall, Jonathan",3,Texas County and District Retirement System Defined benefit plan (value not readily ascertainable): eligible for approximately $175/mo. at age 65,N/A,,,None (or less than $201)
"Department of Housing and Urban Development/Patton, Lynne",1,The Trump Organazation,,,"Base Salary at the Trump Organization + Value of Tangible Bonuses (Golf Membership, Complimentary Hotel Stays, etc.) per year.","$106,000"
"Department of Housing and Urban Development/Patton, Lynne",2,Trump Organazation 401k,,,,
"Department of Housing and Urban Development/Patton, Lynne",2.1,Fidelity Freedom 2035,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Housing and Urban Development/Petty, Timothy",1,Gibbons P.C. (law firm),N/A,,salary/bonus,"$170,772"
"Department of the Treasury/Bohigian, David",1,Pluribus Ventures LLC (Consulting),N/A,,Salary - actual amount for 2016-2017 thru 3/17,"$357,210"
"Department of the Treasury/Bohigian, David",2,IRA D 821,No,,,
"Department of the Treasury/Bohigian, David",2.1,Cash (held in US account),N/A,"$100,001 - $250,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",3,IRA D 392,No,,,
"Department of the Treasury/Bohigian, David",3.1,Cash (held in US Account),N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of the Treasury/Bohigian, David",4,IRA D 393,No,,,
"Department of the Treasury/Bohigian, David",4.1,Cash (held in US Account),N/A,"$50,001 - $100,000",,None (or less than $201)
