file,#,employer-or-party,city-state,status-and-terms,date
"Department of Housing and Urban Development/McCall, Jonathan",1,Texas County and District Retirement System,"Austin, Texas",Defined Benefit Plan from previous job with Harris County Sheriff's Office.  Neither I nor the Sheriff's Office will make any further contribution.,Sep-08
"Department of Housing and Urban Development/Patton, Lynne",1,The Trump Organization,"New York, New York",401k.  I will continue to participate in this defined contribution plan.  The plan sponsor will not make further contributions after my separation.,Jan-12
"Department of the Treasury/Bohigian, David",1,"American Research Capital, LLC","Seattle, Washington","I hold Profits Interest Units in American Research Capital.  The company distributes profits in accordance with the Company's Operating Agreement which fully specifies how profits, losses, and distributions are allocated among the  members. Profits are allocated strictly in proportion to the number of units held and there is no discretion involved",Sep-15
"Department of the Treasury/Bohigian, David",2,"Pluribus Ventures, LLC","Washington, District of Columbia","Pluribus Ventures LLC is a limited liability consulting company which has not conducted business since Jan 19, 2017.",Jan-13
"Department of the Treasury/Chung, Jason",1,Republican National Committee,"Washington, District of Columbia",No employer or personal contributions after separation.,Apr-14
"Department of the Treasury/Hauptman, Kyle",1,Lehman Brothers,"New York City, New York",I will not participate in this defined contribution plan after my separation.,Sep-04
"Department of the Treasury/Hauptman, Kyle",2,American Enterprise Institute,"Washington, District of Columbia",I will not participate in this defined contribution plan after my separation.,Mar-13
"Department of the Treasury/Maloney, Andrew",1,Hess Corporation,"Washington, District of Columbia","Pursuant to the company’s standard policy for departing executives, upon separation, I will forfeit the unvested restricted stock.  I will receive a payment that is calculated based on a pro-rated share of my unvested restricted stock at the time of my separation.",Mar-15
"Department of the Treasury/Maloney, Andrew",2,Hess Corporation,"Washington, District of Columbia","Pursuant to the company’s standard policy for departing executives, I am entitled to a severance payment.  The severance payment will be paid prior to assuming duties of Assistant Secretary.",Dec-12
"Department of the Treasury/Maloney, Andrew",3,Hess Corporation,"Washington, District of Columbia",I will continue to participate in the defined contribution plan.  No further contributions will be made by me or Hess Corp. after my separation.,Dec-12
"Department of the Treasury/Maloney, Andrew",4,Hess Corporation,"Washington, District of Columbia","Pursuant to the company’s standard policy for departing executives, I will receive a pro-rated performance-based bonus for services rendered in 2017 up to the date of my departure from the company.  The bonus will be paid prior to assuming duties of Assistant Secretary.",Dec-12
"Department of the Treasury/Maloney, Andrew",5,Hess Corporation,"Washington, District of Columbia","I will continue to participate in this defined benefit plan.  I am eligible for $814,347 lump sum at age 65.",Dec-12
"Department of the Treasury/Maloney, Andrew",6,Hess Corporation,"Washington, District of Columbia","Pursuant to the company’s standard policy for departing executives, I will receive a payment for a pro-rata share of the Long-Term Incentive Grant for services rendered in 2017 up to the date of my departure from the company.  The payment will be paid prior to assuming duties of Assistant Secretary.",Dec-12
"Department of the Treasury/Maloney, Andrew",7,Hess Corporation,"Washington, District of Columbia","Pursuant to the company’s standard policy for departing executives, upon separation, I will forfeit the performance share units. I will receive a payment that is calculated based on a pro-rated share of my performance share units at the time of my separation.  The payment will be paid prior to assuming duties of Assistant Secretary.",Mar-15
"Department of the Treasury/Maloney, Andrew",8,Hess Corporation,"Washington, District of Columbia","I will continue to participate in this defined benefit plan. I am eligible for $1,410/mo. at age 65.",Dec-12
"Department of the Treasury/Maloney, Andrew",9,Ogilvy Government Relations,"Washington, District of Columbia",I will continue to participate in this defined benefit plan. I am eligible for $376/month at age 55 or $566/month at age 65.,Mar-05
"Department of the Treasury/Miller, Eli",1,"Forest City Enterprises, Inc","Cleveland, Ohio","I will continue to participate in this defined contribution plan.  However, neither I nor the plan sponsor have  made any further contributions after my separation.",Feb-06
"Department of the Treasury/Miller, Eli",2,Americans for Prosperity Foundation,"Arlington, Virginia","I will continue to participate in this defined contribution plan.  However, neither I nor the plan sponsor have made any further contributions after my separation.",Jan-13
"Department of the Treasury/Mkrtchian, Edgar",1,K&L Gates LLP,"Pittsburgh, Pennsylvania","If I leave government employment and take the PA Bar in February 2018, I will return to employment at K&L Gates LLP in 2018 where, once commencing employment, I will receive the standard salary for my class year.",May-16
"Department of the Treasury/Phillips, Craig",1,BlackRock,"New York, New York","Separation Agreement - This agreement relates to my termination of employment with BlackRock due to my retirement.  Upon termination of my employment, I will receive (a) a lump sum payment representing my vacation days accrued, but not taken; and (b) coverage for me and my eligible dependent under Blackrock's insurance plans through January 31, 2017. In addition, I am eligible to receive deferred equity awards of restricted stock units in accordance with Blackrock's standard cash/deferred award guidelines. Blackrock has agreed to waive the standard one year notice requirement for retirement.  Blackrock has further agreed that following receipt of an executed ethics agrement declaring divestiture of my Blackrock equity interests, Blackrock will promply take such actions necessary to immediately accelerate any vesting and payment of any such unvested equity based awards and payment of any amounts held in my Blackrock Voluntary Deferred Compensation account (described on Part 3, line 3).",Jan-17
"Department of the Treasury/Phillips, Craig",2,BlackRock,"New York, New York",401(k) - My active participation in the Blackrock 401(k) plan will end on the day of my retirement.  My former employer will make no future contributions to the plan after my retirement.  I plan to roll over my accounts to an IRA.,Apr-08
"Department of the Treasury/Phillips, Craig",3,BlackRock,"New York, New York","Voluntary Deferred Compensation Plan - As a Blackrock employee, I have been given the option of voluntarily deferring a portion of my annual compensation and bonuses into the Blackrock Voluntary Deferred Compensation Plan (the ""VDCP""). Pursuant to the Separation Agreement described on Part 3, line 1, upon receipt of an executed ethics agreement declaring divestiture of my Blackrock equity interests, Blackrock will promptly accellerate payment of the total balance in my VDCP account.",Feb-10
"Department of the Treasury/Phillips, Craig",4,Credit Suisse,,"Deferred Compensation - As a Credit Suisse employee, I was permitted to defer the receipt of a portion of my compensation.  Pursuant to the deferred compensation agreement, I will receive fifteen equal annual payments beginning on January 31st following my 65th birthday.  The deferred compensation in this plan accrues interest at the rate of 11 percent per annum for amounts deferred in 1985 and 9 percent per annum for amounts deferred in 1986, compounded annually.",Jun-85
"Department of the Treasury/Phillips, Craig",5,Morgan Stanley,,Select Employees' Capital Accumulation Program - I am eligible to receive distributions from this plan upon 1 year written notice.  I currently do not receive distributions pursuant to this plan.  I will contine to participate in Morgan Stanley's Select Employees' Capital Accumulation Program.  My former employer will make no future contributions to the plan.,Feb-95
"Department of the Treasury/Phillips, Craig",6,Morgan Stanley,,Key Employee Private Equity Recognition - I will continue to participate in Morgan Stanley's Key Employee Private Equity Recognition (KEPER) plan. My former employer will make no future contributions to the plan.,Feb-00
"Department of the Treasury/Rubinstein, Reed",1,Dinsmore & Shohl LLP Savings and Investment Plan,"Cincinnati, Ohio",I will not participate in this defined contribution plan after my separation.,Mar-12
"Department of the Treasury/Sandoval, Camilo",1,American Express Retirement Program,"New York, New York",Continuing participation in prior employer's 401(k) plan; no additional employer contributions since separation.,Apr-11
"Department of the Treasury/Unger, Seth",1,State of Ohio,"Columbus, Ohio","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Jan-11
"Department of the Treasury/Unger, Seth",2,State of California,"Sacramento, California",I will continue to participate in this defined benefit plan.,Jan-04
"Department of the Treasury/Unger, Seth",3,State of Ohio,"Columbus, Ohio",I will continue to participate in this defined benefit plan.,Jan-11
"Environmental Protection Agency/Davis, Patrick",1,"Patrick Davis Consulting, LLC","Colorado Springs, Colorado",Per my consulting agreement I am owed a win bonus from a winning campaign.,Nov-15
"Environmental Protection Agency/Ericksen, Doug",1,Washington State,"Olympia, Washington",I will continue to participate in this defined benefit plan.,Jan-99
"Environmental Protection Agency/Greaves, Holly",1,KPMG Defined Benefit Plan,"Washington , District of Columbia",Contributions will not be made to this defined benefit plan after my separation.,Aug-08
"Environmental Protection Agency/Kreutzer, David",1,The Heritage Foundation,"Washington, District of Columbia",I will not participate in this defined contribution plan after my separation.,Feb-08
"Federal Communications Commission/Roddy, Carolyn",1,"Carolyn Tatum Roddy, PC","Marietta, Georgia",Place into inactive status,Feb-17
"Office of the U.S. Trade Representative/Feit, Yecheil",1,Pearl Capital Rivis Ventures,"Bal Harbour, Florida","Severance  receivable $60,000",Feb-15
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",1,"Skadden, Arps, Slate, Meagher, & Flom LLP","New York City, New York","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Oct-92
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",2,King & Spalding LLP,"Atlanta, Georgia","I will continue to participate in this defined contribution plan, but the plan sponsor no longer makes contributions.",Jan-16
"Senate-confirmed/Acosta, Rene Alexander",1,U.S. Century Bank,"Miami, Florida","300,000 warrants.  I understand that if confirmed, I will resign from the Board and thus forfeit the 150,000 warrants that vest in 2018, 2019 and 2020.",Sep-13
"Senate-confirmed/Acosta, Rene Alexander",2,U.S. Century Bank,"Miami, Florida","Bonus for work performed in 2016 of $50,000 to $150,000 awarded as a credit toward the exercise of my vested warrants.  The bonus amount was not set as of the date of nomination.  I will forfeit unless I receive the bonus prior to assuming the duties of the position of Secretary.",Sep-13
"Senate-confirmed/Acosta, Rene Alexander",3,Florida International University,"Miami, Florida",Defined Contribution Plan.  I will continue to participate in this defined contribution plan. The plan sponsor will not make further contributions after my separation.,Jul-09
"Senate-confirmed/Bernhardt, David L",1,"Brownstein Hyatt Farber and Schreck, LLP","Denver, Colorado","Capital Account:  Under the terms of my partnership agreement, I am required to provide 45 days notice of withdrawal.  Upon receiving notice of withdrawal, the firm has the choice of returning my capital contribution in equal semi-annual payments over a period of five years, or accelerating the payments to a date before I am sworn in.  It would be my intent to have all capital returned prior to entering federal service. If the firm will not return the capital before I enter into federal service, it is my intent to disclaim any interest in the capital.",Jan-12
"Senate-confirmed/Bernhardt, David L",2,"Brownstein Hyatt Farber and Schreck, LLP","Denver, Colorado",Defined Contribution Plan:  I am a participant in the firm's defined contribution plan.  Neither I nor the sponsor will make any additional contribution to the plan following the departure from the firm.,Jun-09
"Senate-confirmed/Bernhardt, David L",3,"Brownstein Hyatt Farber and Schreck, LLP","Denver, Colorado",Anticipated S Corp distribution from 2016 remaining to be disbursed on 3/31/17.,Jan-12
"Senate-confirmed/Brouillette, Danny R",1,USAA,"San Antonio, Texas","This is a defined benefit plan, which was suspended in 2007 and replaced with a defined contribution plan.   I am fully vested and will elect to rollover and defer retirement payments until age 62.",Jun-06
"Senate-confirmed/Brouillette, Danny R",2,USAA,"San Antonio, Texas","I will continue to participate in this defined contribution plan; however, the plan sponsor will not make further contributions after my separation.",Jul-07
"Senate-confirmed/Brouillette, Danny R",3,USAA,"San Antonio, Texas","I will receive two fixed payments (in February 2018 and February 2019) of deferred compensation for salary withheld in years 2015 and 2016. The amount of the each payment has already been determined and fixed by objective method, in accordance with company policy.",Feb-15
"Senate-confirmed/Brouillette, Danny R",4,USAA,"San Antonio, Texas","Pursuant to company policy, I will receive a fixed severance payment upon departure from my current employer.  The payment is fixed upon determination of actual separation date and calculated using an objective method. Payment will be made within 30 days from the date of separation.",Jun-06
"Senate-confirmed/Carson, Benjamin",1,"American Business Collaborative, LLC 401k Plan","West Palm Beach, Florida",I will continue to participate in this defined contribution plan. Neither I nor the plan sponsor will make contributions after I am confirmed.,Jun-13
"Senate-confirmed/Carson, Benjamin",2,"American Business Collaborative, LLC Cash Balance Pension Plan","West Palm Beach , Florida","The plan terminated as of Dec. 31, 2016. I will receive a lump sum distribution of my cash balance pension plan.",Jun-13
"Senate-confirmed/Carson, Benjamin",3,Kellogg Company,"Battle Creek, Michigan","Options expire as originally scheduled (2017 and 2018). FIler exercsied options Jan. 5, 2017.",Jan-07
"Senate-confirmed/Carson, Benjamin",4,"Carson Scholars Fund, Inc.","Towson, Maryland",Currently on leave of absence and will resign upon confirmation.,May-15
"Senate-confirmed/Chao, Elaine L",1,News Corporation,"New York, New York","Pursuant to the terms of the company’s Directors’ Deferred Stock Unit Plan, my unvested Deferred Stock Units will vest upon separation from service on the Board. At that time, I will receive a cash payout based on the closing price of the company’s Class A common stock on the date of termination.",Oct-12
"Senate-confirmed/Chao, Elaine L",2,Wells Fargo & Company,"San Francisco, California","Pursuant to the terms of the company’s Directors Stock Compensation and Deferral Plan – Stock Award Deferrals, I will receive a cash payout for my deferred stock compensation (all of which is fully vested at the time of grant) based on various elections I have made each year that I have served on the Board. The cash payout will be determined based on the closing price of the company’s common stock at the time payment is made, and I will continue to receive deferred stock compensation equivalents, which track dividends on the company’s common stock until I receive the cash payout.  If I resign my position on the board after December 31, 2016, the approximate portion of my deferred stock compensation to be paid out is as follows: July 2017 – 48%; March 2018 – 29%; March 2019 – 15%; March 2020 – 4%; and March 2021 – 4%.",Jun-11
"Senate-confirmed/Chao, Elaine L",3,The Heritage Foundation 403(b),"Washington, District of Columbia",I will continue to participate in this defined contribution plan. The sponsor has not made any further contributions since my separation from the company.,Jun-16
"Senate-confirmed/Chao, Elaine L",4,"Firebird International LLC, Defined Benefit Plan","Louisville, Kentucky",I will continue to participate in this defined benefit plan. No further contributions will be made while in office.,May-09
"Senate-confirmed/Chao, Elaine L",5,Delta Airlines,"Atlanta, Georgia","As a former director of Northwest Airlines, which merged with Delta Airlines in 2009, I receive discounted travel on Delta Airlines.  I have never been a director of Delta Airlines, and this benefit is taxable on such discounted airfare at rates established by the Internal Revenue Service.",Oct-08
"Senate-confirmed/Chao, Elaine L",6,The Heritage Foundation Retirement Plan,"Washington, District of Columbia",I will continue to participate in this defined contribution plan. The sponsor has not made any further contributions since my separation from the company.,Jun-16
"Senate-confirmed/Chao, Elaine L",7,Vulcan Materials,"Birmingham, Alabama","Pursuant to the terms of the company’s Directors’ Deferred Stock Unit Plan, I will receive a cash payout for all of my vested deferred stock units in April of the year following the year of my separation from service. The cash payout will be determined based on the closing price of the company’s common stock at the time payment is made that April.  Until the deferred stock units are redeemed, I will continue to receive deferred stock unit equivalents, which track dividends on the company’s common stock.  As to any unvested deferred stock units, the company’s Directors’ Deferred Stock Unit Plan (as described in the Company’s most recent proxy statement) provides that “the Compensation Committee, subject to Board approval, may waive restrictions [i.e., grant 100% vesting] in the event the non-management director fails to remain a director for any reason other than retirement at the mandatory age, death or disability.” Approximately 57% of my deferred stock units are not vested at the date of this report. If the company does not grant such a waiver and vest the deferred stock units before I assume the duties of the position of Secretary, I will forfeit all deferred stock units that are unvested on the date of my resignation.",Feb-15
"Senate-confirmed/Chao, Elaine L",8,Ingersoll Rand,"Dublin, Outside U.S.","Pursuant to the terms of the company’s Directors’ Retainer Stock Unit Plan, my unvested retainer stock units will vest upon separation from service on the Board, and I will receive a cash payout for all of my retainer stock units based on the closing price of the company’s common stock on the date of separation.",Jun-15
"Senate-confirmed/Chao, Elaine L",9,Vulcan Materials,"Birmingham, Alabama","Pursuant to Director's Compensation plan I will receive $55,000 on 12/15/2016.",Dec-16
"Senate-confirmed/Green, Mark Andrew",1,International Republican Institute 457 Plan,"Washington, District of Columbia",I will not participate in this defined contribution plan after my separation.  No additional contributions will be made by IRI following my separation,Jan-14
"Senate-confirmed/Green, Mark Andrew",2,State of Wisconsin,"Madison, Wisconsin","I will continue to hold this account, but I will no longer contribute to this deferred compensation plan. The State of Wisconsin no longer makes contributions to this plan.",Jan-93
"Senate-confirmed/Green, Mark Andrew",3,State of Wisconsin,"Madison, Wisconsin",Defined benefit plan for service in Wisconsin legislature. Payable upon eventual retirement.,Jan-93
"Senate-confirmed/Green, Mark Andrew",4,International Republican Institute 403b Plan,"Washington, District of Columbia",I will not participate in this defined contribution plan after my separation.  No additional contributions will be made by IRI following my separation.,Jan-14
"Senate-confirmed/Hargan, Eric D",1,"Greenberg Traurig, LLP","Chicago, Illinois","I will retain my defined contribution plan. I will be entitled to receive a final contribution into the plan based on my work in 2016.  Other than this fixed amount payment, neither I nor my former employer will make further contributions to this plan after my separation.",Jun-10
"Senate-confirmed/Hargan, Eric D",2,"Greenberg Traurig, LLP","Chicago, Illinois","Pursuant to my shareholder agreement, I am entitled to the return of my capital account through the sale of my shares back to the firm.  The firm has agreed to purchase the shares upon my departure.",Jun-10
"Senate-confirmed/Hassett, Kevin A",1,American Enterprise Institute,"Washington, District of Columbia","I will continue to participate in this defined contribution plan, but neither I nor the employer will continue to contribute to it after my separation.",Feb-97
"Senate-confirmed/Kan, Derek T",1,Lyft Inc.,"San Francisco, California","I have shares of Lyft Restricted Stock Units.  The shares vest quarterly over four years from the date my Lyft employment began.  At this time approximately 43.75% of my shares have vested. Pursuant to the company’s compensation plan, I may retain my vested restricted stock units upon separation from the company.  Lyft has agreed to lift the restrictions on my restricted stock units so that I can sell them to a third party or otherwise divest them.    All unvested restricted stock units will be forfeited upon separation.",Jul-15
"Senate-confirmed/Kan, Derek T",2,Lyft Inc.,"San Francisco, California","Pursuant to a severance agreement with Lyft, I will receive a lump sum payment before I assume the duties of the position of Under Secretary.",May-17
"Senate-confirmed/Kan, Derek T",3,Bain & Company,"Boston, Massachusetts","I have a 401(k) with my former employer, Bain & Company. The 401(k) is managed by Vanguard, and neither I nor my former employer make any further contributions to the plan.",Jul-12
"Senate-confirmed/Kan, Derek T",4,GenapSys,"Redwood City, California",I will retain my vested stock options from my former employer.,Jul-15
"Senate-confirmed/Lighthizer, Robert E",1,"Skadden, Arps, Slate, Meagher & Flom LLP","Washington, District of Columbia","I will continue to participate in the firm's 401(k) Savings Plan, which is a defined contribution plan. The firm will not make further contributions after my retirement.",Jun-85
"Senate-confirmed/Lighthizer, Robert E",2,"Skadden, Arps, Slate, Meagher & Flom LLP","Washington, District of Columbia","I will receive a lump sum payout of the defined benefit plan on or about May 1, 2017.",Jun-85
"Senate-confirmed/Lighthizer, Robert E",3,"Skadden, Arps, Slate, Meagher & Flom LLP","Washington, District of Columbia","I will receive a lump sum payout of the cash benefit plan that will be rolled into IRA on or about April 1, 2017.",Oct-16
"Senate-confirmed/Lighthizer, Robert E",4,"Skadden, Arps, Slate, Meagher & Flom LLP","Washington, District of Columbia","Pursuant to firm policy, I will retain health insurance coverage for life.",Jun-85
"Senate-confirmed/Lighthizer, Robert E",5,"Skadden, Arps, Slate, Meagher & Flom LLP","Washington, District of Columbia","Pursuant to the partnership agreement, following my withdrawal from the firm, I will receive my final partnership share distribution in a lump sum payment.  This payment will be calculated as of the date of my withdrawal.",Jun-85
"Senate-confirmed/Lighthizer, Robert E",6,"Skadden, Arps, Slate, Meagher & Flom LLP","Washington, District of Columbia","Pursuant to the partnership agreement, following my withdrawal from the firm, I will receive two equal lump sum payments of my capital account on the first and second anniversaries of my retirement.  This payment will be calculated as of the date of my withdrawal.",Jun-85
"Senate-confirmed/Lighthizer, Robert E",7,"Skadden, Arps, Slate, Meagher & Flom LLP","Washington, District of Columbia",I will continue to participate in the firm's investment partnership. Neither I nor the firm will  make any further contributions after my retirement.,Jun-85
"Senate-confirmed/Long, William B",1,Hagerty Consulting Inc (401K),"Evanston , Illinois",I will continue to participate in this defined contribution plan. The plan sponsor will not make further contributions after my separation.,Mar-11
"Senate-confirmed/Long, William B",2,Hagerty Consulting Inc Performance Bonus 2017,"Evanston, Illinois","Upon my resignation, I will be paid a pro-rated bonus from my current employer for work performed in 2017. If I do not receive it prior to assuming the duties of my position I will forfeit this prorated bonus.",Feb-11
"Senate-confirmed/Mattis, James N",1,General Dynamics Stock Option Plan,"Falls Church, Virginia",My participation will cease upon my separation from the company. I will forfeit my unvested stock options upon separation.  I will retain my vested stock options.,Aug-13
"Senate-confirmed/Mattis, James N",2,General Dynamics Restricted Stock Plan,"Falls Church, Virginia",My participation will cease upon my separation from the company. I will forfeit my unvested restricted stock upon my separation.,Aug-13
"Senate-confirmed/Mnuchin, Steven T",1,CIT Group,"New York, New York",Restrictive Covenant Agreement - Filer is subject to customary non-compete and non-solicitation provisions until July 2018.,Jul-14
"Senate-confirmed/Mnuchin, Steven T",2,Goldman Sachs,"New York, New York",401(k) Plan - Filer will continue to participate in Goldman Sach's 401(k) plan.  No contributions will be made by Filer's former employer.,Sep-85
"Senate-confirmed/Mnuchin, Steven T",3,Dune Capital Management,"New York, New York",401(k) Plan - Filer will continue to participate in Dune Capital Management's 401(k) plan administered by Ambrose.  No contributions will be made by Filer's former employer.,Sep-04
"Senate-confirmed/Mnuchin, Steven T",4,CIT Group,"New York, New York",401(k) Plan - Filer will continue to participate in CIT Group's SIP 401(k) plan.  No contributions will be made by Filer's former employer.,Aug-15
"Senate-confirmed/Mulvaney, John M",1,South Carolina General Assembly,"Columbia, South Carolina",I will continue to participate in this defined benefit plan.,Jan-07
"Senate-confirmed/Patenaude, Pamela H",1,Urban Land Institute,"Washington, District of Columbia","I will continue to participate in this 403b plan, but neither I nor the plan sponsor make contributions to this plan.",Jul-07
"Senate-confirmed/Patenaude, Pamela H",2,J. Ronald Terwilliger Foundation for Housing America's Families,"Vienna, Virginia","I will continue to participate in this SEP IRA, but both my employer and I will no longer contribute to this plan after my separation.",Oct-14
"Senate-confirmed/Perdue, George E",1,Georgia Legislative Retirement System,"Atlanta, Georgia",I have a defined benefit pension from the State of Georgia.  I receive $326.71 per month.  I will continue to participate in this plan.,Jan-92
"Senate-confirmed/Perry, James Richard",1,State of Texas,"Austin, Texas","I will continue to receive monthly payments from the Employees Retirement System of Texas, a defined benefit pension plan.  I will also continue to receive health insurance as a result of my former employment with the State of Texas.",Jan-85
"Senate-confirmed/Perry, James Richard",2,Energy Transfer Partners,"Dallas, Texas",Prior to my appointment as Secretary of Energy my unvested restricted stock will be vested on an expedited schedule.,Mar-15
"Senate-confirmed/Perry, James Richard",3,Sunoco Logistics Partners LP,"Philadelphia, Pennsylvania",Prior to my appointment as Secretary of Energy my unvested restricted stock will be vested on an expedited schedule.,Mar-15
"Senate-confirmed/Price, Thomas E",1,Emory University,"Atlanta, Georgia",Continued participation in cash balance pension plan. No further contributions by employer or filer.,Aug-02
"Senate-confirmed/Pruitt, Edward Scott",1,State of Oklahoma,"Oklahoma City, Oklahoma",Defined benefit plan.  Neither I nor the State of Oklahoma will make any further contributions upon my resignation.,Jan-11
"Senate-confirmed/Puzder, Andrew F",1,"CKE Restaurants Holdings, Inc.","Anaheim, California","CKE Restaurants is controlled by CKE Holdings, L.P. (“CKE LP”). I have a partnership interest in CKE LP, in the form of Class A Units and vested and unvested Class B Units. Upon resignation, I will forfeit my unvested Class B Units. CKE LP and one of its subsidiaries, CKE Holding Corporation, Inc. (“CKE CORP”), will purchase my Class A Units and my vested Class B Units. To accomplish this purchase, CKE LP will issue me an amount of CKE CORP stock estimated to be equal in value to my Class A Units and vested Class B Units, based on an internal valuation of the company as of December 31, 2016. CKE CORP will then purchase this CKE CORP stock from me. I will receive full payment from CKE CORP for the purchase of this stock before I assume the duties of the position of Secretary, or I will forfeit any portion of the payment that I have not received and any stock that I continue to hold as of the date I assume the duties of the position of Secretary.",Feb-17
"Senate-confirmed/Puzder, Andrew F",2,"CKE Restaurants Holdings, Inc.","Anaheim, California","Before I assume the duties of the position of Secretary, I will receive my 2016 bonus. I will forfeit this bonus if I do not receive it before I assume the duties of the position of Secretary.",Dec-13
"Senate-confirmed/Puzder, Andrew F",3,"CKE Restaurants Holdings, Inc.","Anaheim, California","Before I assume the duties of the position of Secretary, I will receive outstanding relocation benefits owed to reimburse me for moving to Tennessee in 2016, including costs associated with the sale of my house that was finalized in 2017. I will forfeit any portion of these relocation benefits that I have not received as of the date I assume the duties of the position of Secretary.",Mar-16
"Senate-confirmed/Rosen, Jeffrey A",1,Kirkland & Ellis LLP,"Chicago, Illinois",I will continue to participate in this defined benefit plan. St. Paul Business Trust will assume majority of Kirkland pension obligation at age 61.,Jun-82
"Senate-confirmed/Rosen, Jeffrey A",2,Kirkland & Ellis LLP,"Chicago, Illinois","Following my withdrawal from the firm, I will receive a lump pay out of my cash balance pension plan.",May-09
"Senate-confirmed/Rosen, Jeffrey A",3,Kirkland & Ellis LLP,"Chicago, Illinois","I will participate in this defined contribution plan, but the firm will not make contributions after my separation.",May-09
"Senate-confirmed/Rosen, Jeffrey A",4,Kirkland & Ellis LLP,"Chicago, Illinois",I have an interest in contingency fee cases.  I will forfeit any interest in these contingency fee cases that has not been paid as of 3/15/2017.,May-09
Senate-confirmed/Ross Wilbur L,1,"Invesco, Ltd.","Atlanta, Georgia","I received restricted shares of stock as part of my compensation at Invesco.  Generally, those restricted shares vest in equal tranches over a four-year period after the date on which they were granted, but Invesco has a policy of vesting all outstanding unvested shares upon a friendly termination.  My termination is considered friendly, so my outstanding unvested shares will vest once I resign from Invesco.",Feb-13
Senate-confirmed/Ross Wilbur L,2,"WLR Recovery Associates II, LLC","New York, New York","I am Managing Member of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Mar-02
Senate-confirmed/Ross Wilbur L,3,"WLR Recovery Associates III, LLC","New York, New York","WL Ross Group LP serves as Managing Member of this entity, which serves as General Partner (""GP"") of various underlying funds. The GP is entitled to a carried interest. After investors recoup their principal plus an 8% return, the General Partner receives 2% as a carried interest. Any profit above that is divided 80% to investors, 20% to the General Partner.",Aug-05
