file,#,source-name,city-state,brief-description-of-duties
"Department of Housing and Urban Development/Petty, Timothy",6,Karim Bandy,"Colts Neck, New Jersey",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",7,"Village Supermarkets, Inc.","Springfield, New Jersey",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",8,"Chris Christie For President, Inc.","Morristown, New Jersey",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",9,Bolla Mahwah Realty Group,"Mahwah, New Jersey",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",10,"March Associates Construction, Inc.","Wayne, New Jersey",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",11,Daimler AG,"Stuttgart, Outside U.S.",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",12,Estate of Yueh-Lan Wang,"Taipei, Outside U.S.",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",13,"Anheuser-Busch, LLC","St. Louis, Missouri",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",14,"Trump For America, Inc.","Washington, District of Columbia",Legal services (client of Gibbons P.C.)
"Department of Housing and Urban Development/Petty, Timothy",15,Amerigas Propane,"King of Prussia, Pennsylvania",Legal services (client of Gibbons P.C.)
"Department of the Treasury/Bohigian, David",1,Pluribus Ventures LLC,"Washington, District of Columbia",Provided consulting and advisory services
"Department of the Treasury/Bohigian, David",2,UBS Financial Services Inc (consultant to UBS through Pluribus Ventures),"New York, New York",Consulting
"Department of the Treasury/Bohigian, David",3,American Research Capital,"Seattle, Washington",Advisory Work
"Department of the Treasury/Chung, Jason",1,Republican National Committee,"Washington, District of Columbia",served as political and communications staff as it related to AAPI voter engagement
"Department of the Treasury/Claver-Carone, Mauricio",1,Cuba Democracy Advocates,"Washington, District of Columbia",Manage not-for-profit and its educational activities.
"Department of the Treasury/Claver-Carone, Mauricio",2,"Cuba Democracy Public Advocacy, Inc.","Washington, District of Columbia",Manage not-for-profit and its advocacy activities.
"Department of the Treasury/Claver-Carone, Mauricio",3,"National Latino Broadcasting, Inc.","Miami, Florida",Served as host for radio program.
"Department of the Treasury/Hauptman, Kyle",1,Main Street Growth Project,"Washington, District of Columbia","I conducted advocacy work on behalf of free market financial policies. This work consisted of media (columns, radio, social media)."
"Department of the Treasury/Hauptman, Kyle",2,American Enterprise Institute,"Washington, District of Columbia",I worked in development (fundraising) for this non-profit.
"Department of the Treasury/Maloney, Andrew",1,Hess Corporation,"New York, New York",Compensation for services as Vice President
"Department of the Treasury/Miller, Eli",1,"Insperity PEO Services, L.P.","Kingwood, Texas",Chief Operating Officer (Finance) for Donald J. Trump for President
"Department of the Treasury/Miller, Eli",2,Americans for Prosperity Foundation,"Arlington, Virginia",Financial operations
"Department of the Treasury/Mkrtchian, Edgar",1,K&L Gates LLP,"Pittsburgh, Pennsylvania",legal services
"Department of the Treasury/Mkrtchian, Edgar",2,"Federated Administrative Services, Inc.","Pittsburgh, Pennsylvania",legal services
"Department of the Treasury/Phillips, Craig",1,BlackRock,"New York, New York",Managing Director
"Department of the Treasury/Rubinstein, Reed",1,Dinsmore & Shohl LLP,"Washington, District of Columbia",Law firm partner
"Department of the Treasury/Rubinstein, Reed",2,"Cause of Action Institute, Inc.","Washington, District of Columbia","Senior Vice President for Litigation, responsible for strategic litigation and related activity, employee training, case management."
"Department of the Treasury/Rubinstein, Reed",3,American Center for Civil Justice,"New York, New York",Provide legal services.
"Department of the Treasury/Rubinstein, Reed",4,"Cause of Action Institute, Inc.","Washington, District of Columbia",Provide legal services.
"Department of the Treasury/Rubinstein, Reed",5,US Chamber of Commerce,"Washington, District of Columbia",Provide legal services.
"Department of the Treasury/Rubinstein, Reed",6,Freedom Partners Chamber of Commerce,"Washington, District of Columbia",Provide legal Services.
"Department of the Treasury/Rubinstein, Reed",7,3 confidential clients are not disclosed because a written confidentiality agreement prohibits disclosure of the client’s identity,"Washington, District of Columbia",Provide legal services.
"Department of the Treasury/Sandoval, Camilo",1,"Donald J. Trump for President, Inc.","New York, New York",Campaign Staffer/Director of Data Strategy & Voter Contact Ops
"Department of the Treasury/Smith, Andrew",1,Bank of America Merrill Lynch,"Houston, Texas",Bank of America Merrill Lynch commodities analyst
"Department of the Treasury/Smith, Andrew",2,"Donald J Trump for President, Inc.","Alexandria, Virginia",Campaign staff
"Department of the Treasury/Smith, Andrew",3,Trump for America Presidential Transition,"New York, New York",Presidential transition staff
"Department of the Treasury/Unger, Seth",1,State of Ohio,"Columbus, Ohio",Administrative Staff for State Treasurer of Ohio
"Department of the Treasury/Unger, Seth",2,"Donald J. Trump For President, Inc.","New York, New York",Campaign Staff
"Department of Veterans Affairs/Blaha, Lydia B.",1,Trump for Colorado,"Denver, Colorado",Key media contact for the Trump campaign in Colorado
"Department of Veterans Affairs/Blaha, Lydia B.",2,Presidential Inaugural Committee,"Washington, District of Columbia",Booked surrogates on local and national radio
"Environmental Protection Agency/Bangerter, Layne",1,RioB LLC,"Melba, Idaho",Farm and real estate company
"Environmental Protection Agency/Davis, Patrick",1,"Patrick Davis Consulting, LLC","Colorado Springs, Colorado",President
"Environmental Protection Agency/Davis, Patrick",2,Telephone Town Hall Meeting,"Golden, Colorado",Sales Director
"Environmental Protection Agency/Dravis, Samantha",1,Republican Attorneys General Association,"Washington, District of Columbia",Serve as General Counsel and Policy Director of Republican Attorneys General Association.
"Environmental Protection Agency/Dravis, Samantha",2,Freedom Partners Chamber of Commerce,"Arlington, Virginia",Serve as legal counsel to 501(c)(6) organization.
"Environmental Protection Agency/Ericksen, Doug",1,Washington State Government,"Olympia, Washington",Washington State Senator
"Environmental Protection Agency/Ericksen, Doug",2,Trump for President,"Olympia, Washington","Deputy Director for Washington State, Western Washington Field Director, Consultant"
"Environmental Protection Agency/Greaves, Holly",1,KPMG,"Washington, District of Columbia","Managed audit client engagements, multi-location teams, engagement budget and staffing."
"Environmental Protection Agency/Gunasekara, Amanda",1,National Association of Chemical Distributors,"Arlington, Virginia",Senior Director for Federal Affairs
"Environmental Protection Agency/Kreutzer, David",1,The Heritage Foundation,"Washington, District of Columbia",Research fellow
"Environmental Protection Agency/Munoz, Charles",1,"Donald J. Trump for President, INC.","Las Vegas, Nevada",Nevada State Director for campaign
"Environmental Protection Agency/Schwab, Justin",1,Baker & Hostetler LLP,"Washington, District of Columbia",Associate Attorney
"Environmental Protection Agency/Wilcox, Jahan",1,Doug Burgum for North Dakota,"Fargo, North Dakota","Managed the communications of former top Microsoft executive Doug Burgum’s successful gubernatorial campaign. Responsible for debate prep, media training and served as the communications director for Burgum’s transition team."
"Environmental Protection Agency/Wilcox, Jahan",2,Marco Rubio for President,"Washington, District of Columbia",On-the-record spokesman who worked with national and local reporters. Managed the debate rapid response operation and created every debate response document that provided information regarding the candidate’s statements to reporters and grassroots supporters.
"Environmental Protection Agency/Wilcox, Jahan",3,National Republican Senatorial Committee,"Washington, District of Columbia",On-the-record spokesman who worked with national and local reporters. Developed and implemented message strategy.
"Export-Import Bank of the United States/Law, Jesse",1,Reach for the Sky LLC,"Las Vegas, Nevada",Government Affairs and Political Consulting
"Export-Import Bank of the United States/Law, Jesse",2,Low VA Rates,"Las Vegas, Nevada",Make residential loans
"Export-Import Bank of the United States/Law, Jesse",3,Marquis and Aurbach,"Las Vegas, Nevada",Government Affairs
"Export-Import Bank of the United States/Law, Jesse",4,Alpha PAC,"Las Vegas, Nevada",Government Affairs
"Export-Import Bank of the United States/Law, Jesse",5,The 2016 Committee,"Las Vegas, Nevada",Political Consulting
"Export-Import Bank of the United States/Law, Jesse",6,M81 LLC,"Las Vegas, Nevada",Government Affairs and Political Consulting
"Federal Communications Commission/Roddy, Carolyn",1,"Carolyn Tatum Roddy, PC","Marietta, Georgia","Attorney in solo practice representing a variety of clients performing legal work involving single cases and, on occasion, multiple representations."
"Federal Communications Commission/Roddy, Carolyn",2,ErisaPROS,"Marietta, Georgia",Legal Counsel
"Federal Communications Commission/Roddy, Carolyn",3,Carter's (retailer),"Marietta, Georgia",Legal Counsel
"Federal Communications Commission/Roddy, Carolyn",4,Barclay Bank,"Marietta, Georgia",Legal Counsel
"Office of the U.S. Trade Representative/Feit, Yecheil",1,Pearl Capital Business Ventures,"New York, New York",CFO
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",1,King & Spalding LLP,"Washington, District of Columbia",
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",2,"Skadden, Arps, Slate, Meagher, and Flom LLP","Washington, District of Columbia",
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",3,United States Steel Corporation,"Pittsburgh, Pennsylvania",Provided legal services
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",4,Tensar International Corporation,"Alpharetta, Georgia",Provided legal services
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",5,AK Steel Corporation,"West Chester Township, Ohio",Provided legal services
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",6,"Novelis, Inc.","Atlanta, Georgia",Provided legal services
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",7,Zekleman Industries,"Chicago, Illinois",Provided legal services
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",8,American Furniture Manufacturers for Legal Trade,Various,Provided legal services
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",9,Committee for Fair Trade Ammonium Sulfate,Various,Provided legal services
"Senate-confirmed/Acosta, Rene Alexander",1,Florida International University,"Miami, Florida",Dean of the College of Law
"Senate-confirmed/Acosta, Rene Alexander",2,U.S. Century Bank,"Miami, Florida",Chairman of the Board of Directors
"Senate-confirmed/Bernhardt, David L",1,"Brownstein Hyatt Farber and Schreck, LLP","Washington, District of Columbia",Legal services
"Senate-confirmed/Bernhardt, David L",2,Targa Resources Company LLC,"Houston, Texas",Legal services
"Senate-confirmed/Bernhardt, David L",3,Noble Energy Company LLC,"Houston, Texas",Legal Services
"Senate-confirmed/Bernhardt, David L",4,"NRG Energy, Inc.","Princeton, New Jersey",Legal services
"Senate-confirmed/Bernhardt, David L",5,Sempra Energy,"San Diego, California",Legal services
"Senate-confirmed/Bernhardt, David L",6,Lafarge North American -- Western Region,"Chicago, Illinois",Legal services
"Senate-confirmed/Bernhardt, David L",7,Safari Club International -- Foundation,"Tuscon, Arizona",Legal Services
"Senate-confirmed/Bernhardt, David L",8,Active Network LLC,"Dallas, Texas",Legal Services
"Senate-confirmed/Bernhardt, David L",9,Statoil Gulf Services LLC,"Houston, Texas",Legal services
"Senate-confirmed/Bernhardt, David L",10,Cobalt International Energy,"Houston, Texas",Legal services
"Senate-confirmed/Bernhardt, David L",11,Rosemont Copper Company,"Tuscon, Arizona",Legal services
"Senate-confirmed/Bernhardt, David L",12,Independent Petroleum Association of America,"Washington, District of Columbia",Legal services
"Senate-confirmed/Bernhardt, David L",13,Taylor Energy Company LLC,"New Orleans, Louisiana",Legal services
"Senate-confirmed/Bernhardt, David L",14,Garrrision Diversion Irrigation District,"Carrington, North Dakota",Legal services
"Senate-confirmed/Bernhardt, David L",15,Westlands Water District,"Fresno, California",Legal services
"Senate-confirmed/Bernhardt, David L",16,Cadiz Inc.,"Los Angeles, California",Legal services
"Senate-confirmed/Bernhardt, David L",17,Forest County Potawatomi Community,"Crandon, Wisconsin",Legal Services
"Senate-confirmed/Brouillette, Danny R",1,USAA,"San Antonio, Texas",Salary and bonus received for services as a Senior Vice President.
"Senate-confirmed/Carson, Benjamin",1,Kellogg Company,"Battle Creek, Michigan","Member, Board of Directors"
"Senate-confirmed/Carson, Benjamin",2,Costco Wholesale Corp.,"Issaquah, Washington","Member, Board of Directors"
"Senate-confirmed/Carson, Benjamin",3,"Vaccinogen, Inc.","Baltimore, Maryland","Member, Board of Directors"
"Senate-confirmed/Carson, Benjamin",4,"American Business Collaborative, LLC","West Palm Beach, Florida",Public Speaker and Author
"Senate-confirmed/Carson, Benjamin",5,Spencer Stuart,"Washington, District of Columbia",Public Speaker
"Senate-confirmed/Carson, Benjamin",6,Texas Hospital Association,"Austin, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",7,Louisiana Association of Business and Industry,"Baton Rouge, Louisiana",Public Speaker
"Senate-confirmed/Carson, Benjamin",8,Palmer Home for Children,"Columbus, Mississippi",Public Speaker
"Senate-confirmed/Carson, Benjamin",9,Oklahoma Christian Home Educators Consociation,"Oklahoma City, Oklahoma",Public Speaker
"Senate-confirmed/Carson, Benjamin",10,Boyle County of Kentucky Republican Party,"Danville, Kentucky",Public Speaker
"Senate-confirmed/Carson, Benjamin",11,Great Homeschool Conventions,"Maineville, Ohio",Public Speaker
"Senate-confirmed/Carson, Benjamin",12,Parkgate Pregnancy Clinic,"Tupelo, Mississippi",Public Speaker
"Senate-confirmed/Carson, Benjamin",13,Gwinnett Medical Center Foundation,"Lawrenceville, Georgia",Public Speaker
"Senate-confirmed/Carson, Benjamin",14,Hoover Institution,"Washington, District of Columbia",Public Speaker
"Senate-confirmed/Carson, Benjamin",15,University of the Southwest,"Hobbs, New Mexico",Public Speaker
"Senate-confirmed/Carson, Benjamin",16,American Farm Bureau Federation,"Washington, District of Columbia",Public Speaker
"Senate-confirmed/Carson, Benjamin",17,International Cooperating Ministries,"Hampton, Virginia",Public Speaker
"Senate-confirmed/Carson, Benjamin",18,National Association for Developmental Education,"Kinnelon, New Jersey",Public Speaker
"Senate-confirmed/Carson, Benjamin",19,National Association of Realtors,"Washington, District of Columbia",Public Speaker
"Senate-confirmed/Carson, Benjamin",20,H.I.S. BridgeBuilders,"Dallas, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",21,Embry-Riddle Aeronautical University,"Daytona Beach, Florida",Public Speaker
"Senate-confirmed/Carson, Benjamin",22,"World Leaders Group, Inc.","Palm Beach Gardens, Florida",Public Speaker
"Senate-confirmed/Carson, Benjamin",23,Matson Money,"Scottsdale, Arizona",Public Speaker
"Senate-confirmed/Carson, Benjamin",24,Luther F. Carson Four Rivers Center,"Paudcah, Kentucky",Public Speaker
"Senate-confirmed/Carson, Benjamin",25,Lifehouse Maternity Center,"Louisville, Kentucky",Public Speaker
"Senate-confirmed/Carson, Benjamin",26,New Hope Academy,"Hyattsville, Maryland",Public Speaker
"Senate-confirmed/Carson, Benjamin",27,Community Pregnancy Clinics,"Naples, Florida",Public Speaker
"Senate-confirmed/Carson, Benjamin",28,Covenant Health System,"Lubbock, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",29,Conestoga Christian School,"Morgantown, Pennsylvania",Public Speaker
"Senate-confirmed/Carson, Benjamin",30,CSP Business Media,"Phoenix, Arizona",Public Speaker
"Senate-confirmed/Carson, Benjamin",31,American Academy of Orthopaedic Surgeons,"Washington, District of Columbia",Public Speaker
"Senate-confirmed/Carson, Benjamin",32,John W. Pope Civitas Institute,"Raleigh, North Carolina",Public Speaker
"Senate-confirmed/Carson, Benjamin",33,Operation HOPE,"Washington, District of Columbia",Public Speaker
"Senate-confirmed/Carson, Benjamin",34,American Bakers Association,"Washington, District of Columbia",Public Speaker
"Senate-confirmed/Carson, Benjamin",35,Alma College,"Alma, Michigan",Public Speaker
"Senate-confirmed/Carson, Benjamin",36,Scholarship Foundation of Indian River County,"Vero Beach, Florida",Public Speaker
"Senate-confirmed/Carson, Benjamin",37,Sunbird Conservatives,"Fresno, California",Public Speaker
"Senate-confirmed/Carson, Benjamin",38,Right to Life of Southwest Indiana,"Evansville, Indiana",Public Speaker
"Senate-confirmed/Carson, Benjamin",39,Texas Energy Museum,"Beaumont, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",40,Michael W. Haley Foundation,"Greensboro, North Carolina",Public Speaker
"Senate-confirmed/Carson, Benjamin",41,Taylors Free Medical Clinic,"Taylors, South Carolina",Public Speaker
"Senate-confirmed/Carson, Benjamin",42,Hays County Republican Party,"San Marcos, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",43,Cornell University,"Ithaca, New York",Public Speaker
"Senate-confirmed/Carson, Benjamin",44,Summit Educational Association,"Milwaukee, Wisconsin",Public Speaker
"Senate-confirmed/Carson, Benjamin",45,Fort Worth Christian School,"North Richland Hills, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",46,Mason Classical Academy,"Naples, Florida",Public Speaker
"Senate-confirmed/Carson, Benjamin",47,University of Mobile,"Mobile, Alabama",Public Speaker
"Senate-confirmed/Carson, Benjamin",48,Second Baptist Church,"Houston, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",49,Save Our Youth,"Denver, Colorado",Public Speaker
"Senate-confirmed/Carson, Benjamin",50,Meals on Wheels Plus,"Abilene, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",51,Phil Waldrep Ministries,"Decatur, Alabama",Public Speaker
"Senate-confirmed/Carson, Benjamin",52,Dayton Right to Life,"Dayton, Ohio",Public Speaker
"Senate-confirmed/Carson, Benjamin",53,YMCA of the Suncoast,"Clearwater, Florida",Public Speaker
"Senate-confirmed/Carson, Benjamin",54,YPO Cincinnati,"Cincinnati, Ohio",Public Speaker
"Senate-confirmed/Carson, Benjamin",55,Global Evangelism,"San Antonio, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",56,Grove City College,"Grove City, Pennsylvania",Public Speaker
"Senate-confirmed/Carson, Benjamin",57,Council of Insurance Agents and Brokers,"Washington, District of Columbia",Public Speaker
"Senate-confirmed/Carson, Benjamin",58,"The Siegfried Group, LLP","Wilmington, Delaware",Public Speaker
"Senate-confirmed/Carson, Benjamin",59,University of Texas,"Tyler, Texas",Public Speaker
"Senate-confirmed/Carson, Benjamin",60,Law Office of George Martin,"Bakersfield, California",Public Speaker
"Senate-confirmed/Carson, Benjamin",61,Cooperatieve Rabobank UA,"Utrecht, Netherlands",Public Speaker
"Senate-confirmed/Carson, Benjamin",62,Teen Challenge International,"Milwaukee, Wisconsin",Public Speaker
"Senate-confirmed/Carson, Benjamin",63,The Women's Board of Wolfson Children's Hospital,"Jacksonville, Florida",Public Speaker
"Senate-confirmed/Carson, Benjamin",64,Lutheran Church Extension Fund,"St. Louis, Missouri",Public Speaker
"Senate-confirmed/Carson, Benjamin",65,The Washington Times,"Washington, District of Columbia",columnist
"Senate-confirmed/Carson, Benjamin",66,TMA Direct,"Reston, Virginia",produced content for subscription-based web forum
"Senate-confirmed/Chao, Elaine L",1,The Heritage Foundation,"Washington, District of Columbia",Distinguished Fellow
"Senate-confirmed/Chao, Elaine L",2,News Corporation,"New York, New York",Director
"Senate-confirmed/Chao, Elaine L",3,Protective Life Insurance,"Birmingham, Alabama",Director
"Senate-confirmed/Chao, Elaine L",4,Wells Fargo & Company,"San Francisco, California",Director
"Senate-confirmed/Chao, Elaine L",5,"Centerra Group, LLC","Palm Beach Gardens, Florida",Director
"Senate-confirmed/Chao, Elaine L",6,Ingersoll Rand,"Dublin, Outside U.S.",Director
"Senate-confirmed/Chao, Elaine L",7,Vulcan Materials,"Birmingham, Alabama",Director
"Senate-confirmed/Chao, Elaine L",8,The Bloomberg Family Foundation,"New York, New York",Director
"Senate-confirmed/Chao, Elaine L",9,Hudson Institute,"Washington, District of Columbia",Distinguished Fellow
