file,#,description,eif,value,income-type,income-amount
"Department of Education/Brickman, Michael",14,Charles Schwab (Cash Account),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Brickman, Michael",15,"Northwestern Mutual Life Insurance Co., whole life",N/A,"$50,001 - $100,000",,None (or less than $201)
"Department of Education/Brickman, Michael",16,"United Interests, Ltd., Houston, TX",N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Brickman, Michael",17,Koss Corporation (KOSS),N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Brickman, Michael",18,JP Morgan Chase & Co. Checking Account,N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Brickman, Michael",19,JP Morgan Chase & Co. Savings Account,N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Chamberlain, Michael",1,U.S. bank account (cash),N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Chamberlain, Michael",2,T. Rowe Price Mid-Cap Growth Fund (RPMGX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Chamberlain, Michael",3,Alaska 529 College Savings Plan,No,,,
"Department of Education/Chamberlain, Michael",3.1,Portfolio 2021,Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Chamberlain, Michael",4,"Symetra, universal life",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Chamberlain, Michael",5,T. Rowe Price Blue Chip Growth Fund (TRBCX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Delahunty, Sarah",1,Bank of America Checking Account,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Delahunty, Sarah",2,Bank of America Savings Account,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",1,PNC Checking Account,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",2,PNC Checking Account,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",3,PNC Savings Account,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Frendewey, Matthew",4,PNC Savings Account,N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",1,"Real Estate - undeveloped land (Angel Fire, NM)",N/A,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",2,Bank of America Checking Account,N/A,"$100,001 - $250,000",,None (or less than $201)
"Department of Education/Ham, Holly",3,AllianceBern Select US L/S Portfolio Adv (ASYLX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",4,American Funds Growth Fund of Amer F-2 (GFFFX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",5,Angel Oak Multi-Strategy Income Instl (ANGIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",6,Artisan International Advisor (APDIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",7,Artisan International Value Advisor (APDKX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",8,Artisan Mid Cap Advisor (APDMX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",9,Artisan Mid Cap Value Advisor (APDQX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",10,BlackRock Equity Dividend Instl (MADVX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",11,Cohen & Steers Preferred Sec & Inc I (CPXIX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",12,Eaton Vance Floating Rate I (EIBLX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",13,Eaton Vance Income Fund of Boston I (EIBIX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",14,Eaton Vance Strategic Income I (ESIIX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",15,First Eagle Global I (SGIIX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",16,Franklin Real Return Adv (FARRX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",17,JPMorgan Intermediate Tax Free Bond Sel (VSITX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",18,Lazard Emerging Markets Equity Instl (LZEMX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",19,LoCorr Market Trend I (LOTIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",20,Neuberger Berman Genesis Instl (NBGIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",21,Nuveen Limited-Term Municipal Bond I (FLTRX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",22,Oppenheimer Gold & Special Minerals Y (OGMYX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",23,PIMCO Emerging Markets Bond P (PEMPX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",24,PIMCO Investment Grade Corp Bd P (PBDPX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",25,Putnam Diversified Income Y (PDVYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",26,Virtus Multi-Sector S/T Bd I (PIMSX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",27,Voya GNMA Income I (LEINX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",28,Hewlett Packard Enterprise Company (HPE),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",29,HP Inc. (HPQ),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",30,Columbia Diversified Equity Income A (INDZX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",31,Columbia Dividend Opportunity A (INUTX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",32,Columbia Small/Mid Cap Value A (AMVAX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",33,Columbia Strategic Municipal Income A (INTAX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",34,AbbVie Inc. (ABBV),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",35,American Century Mid Cap Value (ACMVX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",36,Alliance Data Systems Corporation (ADS),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",37,AllianceBern High Income Advisor (AGDYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",38,iShares Barclays Aggregate Bond (AGG),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",39,"Alaska Air Group, Inc. (ALK)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",40,"Applied Materials, Inc. (AMAT)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",41,"Affiliated Managers Group, Inc. (AMG)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",42,"Amgen, Inc. (AMGN)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",43,"Anthem, Inc. (ANTM)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",44,Aegean Marine Petroleum Network Inc. (ANW),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",45,Artisan Mid Cap Advisor (APDMX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",46,"A V Homes, Inc. (AVHI)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",47,"Aware, Inc. (AWRE)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",48,Anixter International Inc. (AXE),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",49,The Boeing Company (BA),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",50,"Best Buy Co., Inc. (BBY)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",51,Bel Fuse Inc. (BELFB),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",52,BioSpecifics Technologies Corp. (BSTC),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",53,Charter Financial Corp. (CHFN),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",54,Chesapeake Energy Corp (CHK),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",55,Cloud Peak Energy Inc. (CLD),N/A,"None (or less than $1,001)",,None (or less than $201)
"Department of Education/Ham, Holly",56,"Century Casinos, Inc. (CNTY)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",57,Cohen & Steers Preferred Sec & Inc I (CPXIX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",58,"Cisco Systems, Inc. (CSCO)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",59,Cintas Corporation (CTAS),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",60,Consolidated-Tomoka Land Co. (CTO),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",61,"Cutera, Inc. (CUTR)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",62,"CPI Aerostructures, Inc. (CVU)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",63,Delta Air Lines (DAL),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",64,Ducommun Incorporated (DCO),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",65,WisdomTree Japan SmallCap Dividend ETF (DFJ),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",66,"Digital Realty Trust, Inc. (DLR)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",67,Devon Energy Corp. (DVN),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",68,iShares Select Dividend ETF (DVY),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",69,Eastman Chemical Co. (EMN),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",70,"Escalade, Incorporated (ESCA)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",71,Express Scripts Holding Company (ESRX),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",72,Eaton Corporation plc (ETN),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",73,SPDR S&P Emerging Markets Small Cap ETF (EWX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",74,Fiat Chrysler Automobiles N.V. (FCAU),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",75,"Foot Locker, Inc. (FL)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",76,Nuveen Limited Term Municipal Bond I (FLTRX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",77,First Trust Senior Loan ETF (FTSL),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",78,"Gilead Sciences, Inc. (GILD)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",79,Guggenheim Macro Opportunities Instl (GIOIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",80,SPDR Gold Shares (GLD),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",81,"Gap, Inc. (GPS)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",82,"The Goldman Sachs Group, Inc. (GS)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",83,"Great Southern Bancorp, Inc. (GSBC)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",84,Harbor Capital Appreciation Instl (HACAX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",85,"HCA Holdings, Inc. (HCA)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",86,Hancock Horizon Burkenroad Sm Cp Inv (HHBUX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",87,Virtus Emerging Markets Opportunities I (HIEMX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",88,"The Hartford Financial Services Group, Inc. (HIG)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",89,Hennessy Japan Institutional (HJPIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",90,Hooker Furniture Corporation (HOFT),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",91,ProShares High Yield—Interest Rate Hdgd (HYHG),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",92,"ICF International, Inc. (ICFI)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",93,ProShares Investment Grade—Intr Rt Hdgd (IGHG),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",94,iShares Micro-Cap (IWC),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",95,"John B. Sanfilippo & Son, Inc. (JBSS)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",96,Virtus Foreign Opportunities I (JVXIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",97,"Nordstrom, Inc. (JWN)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",98,"Kingstone Companies, Inc. (KINS)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",99,Kimberly-Clark Corporation (KMB),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",100,"Kinder Morgan, Inc. (KMI)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",101,The Kroger Co. (KR),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",102,Kohl's Corporation (KSS),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",103,"KVH Industries, Inc. (KVHI)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",104,"Lakeland Industries, Inc. (LAKE)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",105,"Lifetime Brands, Inc. (LCUT)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",106,"Lee Enterprises, Incorporated (LEE)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",107,Voya GNMA Income I (LEINX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",108,"LeMaitre Vascular, Inc. (LMAT)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",109,LoCorr Market Trend I (LOTIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",110,Columbia Strategic Income Z (LSIZX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",111,Southwest Airlines Co. (LUV),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",112,LyondellBasell Industries N.V. (LYB),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",113,"Macy's, Inc. (M)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",114,Microchip Technology Incorporated (MCHP),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",115,MFS Emerging Markets Debt I (MEDIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",116,"MetLife, Inc. (MET)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",117,MFS International Value I (MINIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",118,Victory Integrity Discovery Y (MMEYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",119,Marathon Petroleum Corporation (MPC),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",120,Marlin Business Services Corp. (MRLN),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",121,Morgan Stanley (MS),N/A,"$15,001 - $50,000",Dividends,"$201 - $1,000"
"Department of Education/Ham, Holly",122,"Micron Technology, Inc. (MU)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",123,iShares National Muni Bond ETF (MUB),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",124,Navient Corporation (NAVI),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",125,North American Energy Partners Inc. (NOA),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",126,"NetApp, Inc. (NTAP)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",127,NVIDIA Corporation (NVDA),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",128,"Ocean Bio-Chem, Inc. (OBCI)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",129,"Owens-Illinois, Inc. (OI)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",130,"ONEOK, Inc. (OKE)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",131,Oppenheimer Senior Floating Rate Y (OOSYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",132,"Orion Group Holdings, Inc. (ORN)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",133,Virtus Multi-Sector S/T Bd I (PIMSX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",134,POSCO (PKX),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",135,Pentair plc (PNR),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",136,PIMCO Income P (PONPX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",137,"Prudential Financial, Inc. (PRU)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",138,AQR Long-Short Equity I (QLEIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",139,Robert Half International Inc. (RHI),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",140,Oppenheimer Large Cap Revenue ETF (RWL),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Department of Education/Ham, Holly",141,Dreyfus/Standish Global Fixed Income I (SDGIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",142,First Eagle Global I (SGIIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",143,Signet Jewelers Limited (SIG),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",144,SL Green Realty Corp. (SLG),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",145,"Scripps Networks Interactive, Inc. (SNI)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",146,SP Plus Corporation (SP),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",147,PowerShares S&P 500 High Beta ETF (SPHB),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",148,PowerShares S&P 500 High Div Low VolETF (SPHD),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",149,"Supreme Industries, Inc. (STS)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",150,Synchrony Financial (SYF),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",151,Symantec Corporation (SYMC),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",152,Tucows Inc. (TCX),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",153,Templeton Emerging Markets Small Cap Adv (TEMZX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",154,Touchstone Focused Y (TFFYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",155,Direxion Daily 20+ Yr Trsy Bear 3X ETF (TMV),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",156,Tortoise MLP & Pipeline Instl (TORIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",157,"Timberland Bancorp, Inc. (TSBK)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",158,"Tyson Foods, Inc. (TSN)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",159,Tesoro Corporation (TSO),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",160,"Townsquare Media, Inc. (TSQ)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",161,Guggenheim Directional Allocation I (TVRIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",162,"United Continental Holdings, Inc. (UAL)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",163,"UCP, Inc. (UCP)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",164,"Unifi, Inc. (UFI)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",165,"Universal Health Services, Inc. (UHS)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",166,ProShares UltraPro S&P500 (UPRO),Yes,"$15,001 - $50,000",,None (or less than $201)
"Department of Education/Ham, Holly",167,USD Partners LP (USDP),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",168,Vanguard Telecommunication Services ETF (VOX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",169,Vanguard Value ETF (VTV),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",170,Vanguard Growth ETF (VUG),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",171,Viad Corp (VVI),N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",172,Vanguard FTSE Emerging Markets ETF (VWO),Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",173,"The Williams Companies, Inc. (WMB)",N/A,"$1,001 - $15,000",,None (or less than $201)
"Department of Education/Ham, Holly",174,WestRock Company (WRK),N/A,"$1,001 - $15,000",,None (or less than $201)
